
Detailed
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
426.464,1689.44,1042.5,µm,Spot,Position,1,0,
469.485,1700.89,1042.5,µm,Spot,Position,1,1,
513.885,1712.82,1042.5,µm,Spot,Position,1,2,
570.866,1720.55,1042.5,µm,Spot,Position,1,3,
533.4,1723.41,1042.5,µm,Spot,Position,1,4,
419.513,1766.39,1042.5,µm,Spot,Position,1,5,
572.709,1789.6,1042.5,µm,Spot,Position,1,6,
409.849,1794.84,1042.5,µm,Spot,Position,1,7,
402.415,1687.74,1046.39,µm,Spot,Position,1,8,
402.415,1758.46,1047.41,µm,Spot,Position,1,9,
527.215,1777.94,1054.36,µm,Spot,Position,1,10,
467.056,1791.06,1054,µm,Spot,Position,1,11,
507.299,1758.47,1058.19,µm,Spot,Position,1,12,
554.521,1783.3,1058.62,µm,Spot,Position,1,13,
521.893,1688.4,1063.74,µm,Spot,Position,1,14,
572.661,1798.08,1060.31,µm,Spot,Position,1,15,
495.996,1651.19,1066.5,µm,Spot,Position,1,16,
559.686,1781,1066.97,µm,Spot,Position,1,17,
580.597,1780.58,1067.52,µm,Spot,Position,1,18,
411.715,1690.12,1074.65,µm,Spot,Position,1,19,
477.791,1737.25,1073.64,µm,Spot,Position,1,20,
490.861,1747.53,1073.18,µm,Spot,Position,1,21,
461.679,1664.1,1076.73,µm,Spot,Position,1,22,
486.63,1694.09,1077.46,µm,Spot,Position,1,23,
565.384,1749.31,1078.64,µm,Spot,Position,1,24,
495.815,1721.09,1080.73,µm,Spot,Position,1,25,
549.71,1730.07,1092.47,µm,Spot,Position,1,26,
549.304,1760.84,1092.78,µm,Spot,Position,1,27,
537.761,1689.43,1097.68,µm,Spot,Position,1,28,
559.685,1738.67,1098.7,µm,Spot,Position,1,29,
459.288,1718.16,1109.43,µm,Spot,Position,1,30,
592.925,1746.64,1106,µm,Spot,Position,1,31,
478.511,1687.36,1112.88,µm,Spot,Position,1,32,
579.968,1695.18,1110.81,µm,Spot,Position,1,33,
420.406,1690.42,1118.18,µm,Spot,Position,1,34,
512.755,1759.37,1117.96,µm,Spot,Position,1,35,
619.911,1796.44,1042.5,µm,Spot,Position,1,36,
652.456,1823.07,1042.5,µm,Spot,Position,1,37,
727.773,1823.85,1042.5,µm,Spot,Position,1,38,
760.448,1825.85,1042.5,µm,Spot,Position,1,39,
739.682,1737,1046.46,µm,Spot,Position,1,40,
687.826,1835.15,1047.16,µm,Spot,Position,1,41,
752,1756.59,1050.13,µm,Spot,Position,1,42,
727.527,1775.24,1052.43,µm,Spot,Position,1,43,
629.672,1802.41,1052.48,µm,Spot,Position,1,44,
765.608,1670.75,1055.96,µm,Spot,Position,1,45,
784.898,1798.8,1056.9,µm,Spot,Position,1,46,
787.584,1816.13,1058.23,µm,Spot,Position,1,47,
627.63,1787.24,1063.74,µm,Spot,Position,1,48,
595.771,1779.03,1065.79,µm,Spot,Position,1,49,
628.971,1834.7,1066.69,µm,Spot,Position,1,50,
657.146,1651.19,1071.72,µm,Spot,Position,1,51,
748.137,1696.77,1075.97,µm,Spot,Position,1,52,
629.581,1778.26,1078.77,µm,Spot,Position,1,53,
700.479,1824.87,1077.23,µm,Spot,Position,1,54,
658.93,1778.26,1081.79,µm,Spot,Position,1,55,
671.997,1778.39,1084.31,µm,Spot,Position,1,56,
