
Detailed
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
1224.11,1241.4,399.4,µm,Spot,Position,1,0,
1218.89,1286.04,399.584,µm,Spot,Position,1,1,
1340.62,1241.08,399.846,µm,Spot,Position,1,2,
1343.31,1307.38,397.877,µm,Spot,Position,1,3,
1535.57,1241.78,398.804,µm,Spot,Position,1,4,
1176.65,1315.49,399.137,µm,Spot,Position,1,5,
1246.65,1329.09,398.921,µm,Spot,Position,1,6,
1226,1383.02,398.804,µm,Spot,Position,1,7,
1260.75,1389.03,398.39,µm,Spot,Position,1,8,
1194.46,1404.78,398.051,µm,Spot,Position,1,9,
1225.59,1424.51,398.319,µm,Spot,Position,1,10,
1276.28,1434.02,397.886,µm,Spot,Position,1,11,
1181.94,1458.94,399.521,µm,Spot,Position,1,12,
1631.07,1423.18,398.061,µm,Spot,Position,1,13,
2146.13,1312.72,398.746,µm,Spot,Position,1,14,
2092.48,1486.45,397.77,µm,Spot,Position,1,15,
2394.38,1358.1,397.923,µm,Spot,Position,1,16,
2405.24,1371.37,399.222,µm,Spot,Position,1,17,
2413.53,1421.45,398.296,µm,Spot,Position,1,18,
1605.55,1667.11,397.823,µm,Spot,Position,1,19,
1774.36,1666.07,399.447,µm,Spot,Position,1,20,
1267.47,1822.63,397.496,µm,Spot,Position,1,21,
1556.46,1762.02,397.812,µm,Spot,Position,1,22,
2033.34,1882.83,399.36,µm,Spot,Position,1,23,
2023.88,1890.96,399.265,µm,Spot,Position,1,24,
2168.84,1699.28,399.696,µm,Spot,Position,1,25,
2152.66,1855.39,398.916,µm,Spot,Position,1,26,
1628.55,1969.24,398.719,µm,Spot,Position,1,27,
1919.16,1945.63,398.744,µm,Spot,Position,1,28,
1881.89,2015.83,397.602,µm,Spot,Position,1,29,
1933.88,2039.12,398.152,µm,Spot,Position,1,30,
2085.72,1958.33,397.518,µm,Spot,Position,1,31,
2217.4,1960.48,397.729,µm,Spot,Position,1,32,
2358.9,2008.04,398.753,µm,Spot,Position,1,33,
2376.71,2023.76,398.078,µm,Spot,Position,1,34,
2478.47,1980.69,399.081,µm,Spot,Position,1,35,
1196.41,2199.62,399.473,µm,Spot,Position,1,36,
1980.57,2107.85,398.071,µm,Spot,Position,1,37,
1945.84,2145.06,399.133,µm,Spot,Position,1,38,
2388.37,2109.51,398.773,µm,Spot,Position,1,39,
1268.64,1228.65,401.751,µm,Spot,Position,1,40,
1181.07,1232.59,403.104,µm,Spot,Position,1,41,
1153.9,1279.42,402.732,µm,Spot,Position,1,42,
1206.53,1279.8,400.471,µm,Spot,Position,1,43,
