
Detailed
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
1935.41,-3998.52,1877.55,µm,Spot,Position,1,0,
2077.93,-4071.71,1877.52,µm,Spot,Position,1,1,
2074.8,-4049.08,1887.25,µm,Spot,Position,1,2,
2078.46,-4038.18,1894.78,µm,Spot,Position,1,3,
2079.9,-4028.7,1901.05,µm,Spot,Position,1,4,
2084.94,-3997.67,1917.4,µm,Spot,Position,1,5,
2151.82,-3979.16,1920.5,µm,Spot,Position,1,6,
2092.65,-3991.13,1934.01,µm,Spot,Position,1,7,
2184.52,-4098.66,1898.95,µm,Spot,Position,1,8,
2197.14,-3987.92,1914.58,µm,Spot,Position,1,9,
2200,-3981.3,1916.22,µm,Spot,Position,1,10,
2314.88,-4098.66,1874,µm,Spot,Position,1,11,
2426.94,-4010.22,1874,µm,Spot,Position,1,12,
2498.4,-4068.16,1877.11,µm,Spot,Position,1,13,
1993.42,-3962.41,1874,µm,Spot,Position,1,14,
2057.33,-3973.85,1906.79,µm,Spot,Position,1,15,
2064.37,-3935.5,1914.58,µm,Spot,Position,1,16,
2150.87,-3918.62,1929.66,µm,Spot,Position,1,17,
2347.22,-3861.04,1926.85,µm,Spot,Position,1,18,
2351.2,-3914.74,1931,µm,Spot,Position,1,19,
2384.59,-3973.63,1934.81,µm,Spot,Position,1,20,
2445.49,-3909.57,1913.79,µm,Spot,Position,1,21,
2032.18,-3771.61,1891.05,µm,Spot,Position,1,22,
2042.28,-3794.93,1914.59,µm,Spot,Position,1,23,
2044.08,-3801.7,1922.96,µm,Spot,Position,1,24,
2291.04,-3837.64,1895.09,µm,Spot,Position,1,25,
2366.04,-3783.02,1874,µm,Spot,Position,1,26,
2305.14,-3829.09,1894.83,µm,Spot,Position,1,27,
2307.01,-3762.19,1935.22,µm,Spot,Position,1,28,
2586.56,-3841.2,1914.59,µm,Spot,Position,1,29,
1970.84,-3697.99,1929.14,µm,Spot,Position,1,30,
2107.06,-3684.35,1877.21,µm,Spot,Position,1,31,
2331.61,-3720.6,1893.16,µm,Spot,Position,1,32,
2329,-3708.99,1892.24,µm,Spot,Position,1,33,
2362.93,-3699.9,1893.44,µm,Spot,Position,1,34,
2601.97,-3685.71,1874,µm,Spot,Position,1,35,
2067.65,-3552.41,1903.04,µm,Spot,Position,1,36,
2066.82,-3539.89,1907.39,µm,Spot,Position,1,37,
2109.98,-3523.5,1927.15,µm,Spot,Position,1,38,
2071.77,-3548.62,1928.97,µm,Spot,Position,1,39,
2314.21,-3613.23,1874,µm,Spot,Position,1,40,
2379.23,-3527.29,1874,µm,Spot,Position,1,41,
2297.53,-3565.09,1888.2,µm,Spot,Position,1,42,
2371.43,-3549.78,1893.8,µm,Spot,Position,1,43,
2461.38,-3586.63,1927.06,µm,Spot,Position,1,44,
2673.71,-3546.45,1897.05,µm,Spot,Position,1,45,
2006.43,-3453.85,1874,µm,Spot,Position,1,46,
2003,-3444.3,1881.33,µm,Spot,Position,1,47,
2322.61,-3414.17,1906.68,µm,Spot,Position,1,48,
2455.07,-3440.99,1874,µm,Spot,Position,1,49,
2461.66,-3425.3,1874,µm,Spot,Position,1,50,
2453.76,-3464.49,1909.22,µm,Spot,Position,1,51,
2459.03,-3476.98,1926.66,µm,Spot,Position,1,52,
2460.1,-3485.17,1933.6,µm,Spot,Position,1,53,
2569.02,-3483.49,1896.65,µm,Spot,Position,1,54,
2052.35,-3371.03,1874,µm,Spot,Position,1,55,
1935.41,-3347.27,1919.48,µm,Spot,Position,1,56,
2240.02,-3260.66,1889.13,µm,Spot,Position,1,57,
2182.01,-3300.5,1892.48,µm,Spot,Position,1,58,
2211.33,-3368.53,1902.78,µm,Spot,Position,1,59,
2183.06,-3300.93,1901.05,µm,Spot,Position,1,60,
2483.22,-3338.7,1874,µm,Spot,Position,1,61,
1971.36,-3220.64,1921.96,µm,Spot,Position,1,62,
2103.39,-3179.29,1882.11,µm,Spot,Position,1,63,
2069.03,-3202.61,1922.1,µm,Spot,Position,1,64,
2207.34,-3203.56,1876.33,µm,Spot,Position,1,65,
2466.7,-3200.47,1894.02,µm,Spot,Position,1,66,
2081.9,-3131.47,1905.76,µm,Spot,Position,1,67,
2116.09,-3088.89,1922.79,µm,Spot,Position,1,68,
2282.04,-3076.78,1877.44,µm,Spot,Position,1,69,
2401.79,-3063.29,1874,µm,Spot,Position,1,70,
2387.47,-3063.16,1874,µm,Spot,Position,1,71,
2329.29,-3048.21,1886.8,µm,Spot,Position,1,72,
2310.2,-3059.51,1890.6,µm,Spot,Position,1,73,
2397.98,-3017.66,1906.21,µm,Spot,Position,1,74,
2431.81,-3107.46,1874,µm,Spot,Position,1,75,
2421.85,-3081.11,1874,µm,Spot,Position,1,76,
2425.12,-3054.58,1874,µm,Spot,Position,1,77,
2538.22,-3017.05,1874,µm,Spot,Position,1,78,
2600.25,-3114.27,1891.86,µm,Spot,Position,1,79,
2547.94,-3056.57,1907.46,µm,Spot,Position,1,80,
2541.5,-3017.98,1913.93,µm,Spot,Position,1,81,
2547.8,-3024.16,1916.15,µm,Spot,Position,1,82,
2667.11,-3061.08,1914.1,µm,Spot,Position,1,83,
2116.01,-3006.38,1879.71,µm,Spot,Position,1,84,
2295.19,-3006.38,1897.6,µm,Spot,Position,1,85,
2375.52,-3006.38,1933.33,µm,Spot,Position,1,86,
2087.38,-3980.45,1942.62,µm,Spot,Position,1,87,
2055.47,-4018.36,1944.81,µm,Spot,Position,1,88,
2057.97,-4009.65,1946.73,µm,Spot,Position,1,89,
2256.55,-4059.41,1969.74,µm,Spot,Position,1,90,
2437.41,-4010.27,1998.38,µm,Spot,Position,1,91,
1993,-3967.79,1953.45,µm,Spot,Position,1,92,
2002.21,-3956.79,1985.4,µm,Spot,Position,1,93,
2088.82,-3959.08,1953.5,µm,Spot,Position,1,94,
2086.82,-3941.83,1964.54,µm,Spot,Position,1,95,
2084.31,-3911.75,1989.91,µm,Spot,Position,1,96,
2081.16,-3874.88,1997.8,µm,Spot,Position,1,97,
2221.36,-3963.82,1961.8,µm,Spot,Position,1,98,
2293.89,-3886.2,1986.24,µm,Spot,Position,1,99,
2261.82,-3954.23,1989.92,µm,Spot,Position,1,100,
2254.49,-3878.21,1993.19,µm,Spot,Position,1,101,
2358.11,-3882.17,1969.59,µm,Spot,Position,1,102,
2338.63,-3862.37,1970.57,µm,Spot,Position,1,103,
2468.23,-3928.73,1941.67,µm,Spot,Position,1,104,
2537.9,-3943.94,1969.88,µm,Spot,Position,1,105,
2049.45,-3818.62,1941.82,µm,Spot,Position,1,106,
2055.03,-3838.19,1968.88,µm,Spot,Position,1,107,
2126.29,-3763.47,1940.83,µm,Spot,Position,1,108,
2073.65,-3834.6,1996.57,µm,Spot,Position,1,109,
2261.44,-3839.11,1957.66,µm,Spot,Position,1,110,
2329.99,-3792.64,1989.07,µm,Spot,Position,1,111,
2455.09,-3783.48,1975.38,µm,Spot,Position,1,112,
2504.14,-3791.56,1997.02,µm,Spot,Position,1,113,
2085.2,-3690.07,1981.67,µm,Spot,Position,1,114,
2523.38,-3711.08,1978.05,µm,Spot,Position,1,115,
2515.38,-3715.22,1982.5,µm,Spot,Position,1,116,
2506.09,-3719.93,1989.87,µm,Spot,Position,1,117,
2562.67,-3692.9,1962.69,µm,Spot,Position,1,118,
2545.59,-3702.88,1966.99,µm,Spot,Position,1,119,
2554.95,-3698.28,1964.83,µm,Spot,Position,1,120,
2622.2,-3627.45,1967.5,µm,Spot,Position,1,121,
2607.72,-3640.44,1980.32,µm,Spot,Position,1,122,
2605.49,-3635.14,1984.67,µm,Spot,Position,1,123,
2068.38,-3527.33,1941.5,µm,Spot,Position,1,124,
2095.06,-3605.26,1945.65,µm,Spot,Position,1,125,
2067.56,-3510.51,1954.28,µm,Spot,Position,1,126,
2108.59,-3503.96,1962.61,µm,Spot,Position,1,127,
2094.2,-3519.28,1970.79,µm,Spot,Position,1,128,
2065.95,-3505.72,1971.16,µm,Spot,Position,1,129,
2461.74,-3558.52,1947.92,µm,Spot,Position,1,130,
2454.41,-3512.61,1957.62,µm,Spot,Position,1,131,
2445.48,-3541.75,1974.5,µm,Spot,Position,1,132,
2443.76,-3548.4,1977.17,µm,Spot,Position,1,133,
2455.26,-3502.79,1981.22,µm,Spot,Position,1,134,
2432.69,-3581.39,1994.97,µm,Spot,Position,1,135,
2636.73,-3608.59,1955.24,µm,Spot,Position,1,136,
2059.2,-3471.02,1946.47,µm,Spot,Position,1,137,
2149.46,-3435.39,1946.9,µm,Spot,Position,1,138,
2063.05,-3485.42,1953.46,µm,Spot,Position,1,139,
2128.25,-3492.72,1959.39,µm,Spot,Position,1,140,
2139.31,-3455.44,1962.91,µm,Spot,Position,1,141,
2150.33,-3435.13,1970.43,µm,Spot,Position,1,142,
2107.05,-3489.38,1976.86,µm,Spot,Position,1,143,
2060.73,-3488.58,1979.59,µm,Spot,Position,1,144,
2148.52,-3433.55,1983.23,µm,Spot,Position,1,145,
2123.52,-3481.77,1985.63,µm,Spot,Position,1,146,
2077.63,-3439.41,1994.6,µm,Spot,Position,1,147,
2078.7,-3431.55,1995.64,µm,Spot,Position,1,148,
2151.22,-3493.31,1997.29,µm,Spot,Position,1,149,
2344.18,-3449.12,1994.22,µm,Spot,Position,1,150,
2458.98,-3421.95,1986.27,µm,Spot,Position,1,151,
2147.71,-3264.8,1954.58,µm,Spot,Position,1,152,
2240,-3314.05,1956.22,µm,Spot,Position,1,153,
2137.52,-3152.58,1947.54,µm,Spot,Position,1,154,
2165,-3193.43,1976.03,µm,Spot,Position,1,155,
2182.32,-3145.02,1983.39,µm,Spot,Position,1,156,
2183.64,-3233.45,1988.9,µm,Spot,Position,1,157,
2215.39,-3151.74,1993.02,µm,Spot,Position,1,158,
2393.1,-3152.98,1962.32,µm,Spot,Position,1,159,
2383.56,-3168.77,1965.7,µm,Spot,Position,1,160,
2385.38,-3154.19,1966.66,µm,Spot,Position,1,161,
