
Detailed
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
2083.9,-3997.36,1907.36,µm,Spot,Position,1,24267,
2090.8,-3987.96,1926.98,µm,Spot,Position,1,24277,
2280.58,-4098.66,1874,µm,Spot,Position,1,24279,
2343.63,-4094.8,1874,µm,Spot,Position,1,24314,
2318.03,-4054.21,1874,µm,Spot,Position,1,24317,
2312.33,-4035.53,1874,µm,Spot,Position,1,24318,
2330.66,-4084.54,1883.32,µm,Spot,Position,1,24329,
2302.13,-4024.22,1906.25,µm,Spot,Position,1,24334,
2297.42,-4023.55,1912.94,µm,Spot,Position,1,24336,
2533.88,-3998.91,1901.65,µm,Spot,Position,1,24373,
2518.66,-4003.05,1917.37,µm,Spot,Position,1,24382,
2467.58,-3983.2,1930.1,µm,Spot,Position,1,24385,
2705.56,-4075.95,1929.99,µm,Spot,Position,1,24434,
2447.46,-3909.28,1903.06,µm,Spot,Position,1,24624,
2472.28,-3929.36,1933.32,µm,Spot,Position,1,24631,
2035.92,-3776.18,1880.9,µm,Spot,Position,1,24730,
2044.63,-3799.96,1909.83,µm,Spot,Position,1,24746,
2112.33,-3790.41,1900.9,µm,Spot,Position,1,24773,
2370.66,-3766.44,1925.09,µm,Spot,Position,1,24866,
2475.15,-3816.78,1907.69,µm,Spot,Position,1,24893,
2473.62,-3811.42,1913.69,µm,Spot,Position,1,24897,
2474.73,-3726.7,1900.46,µm,Spot,Position,1,25153,
2604.72,-3682.68,1874,µm,Spot,Position,1,25170,
2596.04,-3686.08,1898.03,µm,Spot,Position,1,25179,
2121.37,-3525.3,1910.58,µm,Spot,Position,1,25301,
2124.24,-3518.93,1926.97,µm,Spot,Position,1,25304,
2240.65,-3585.65,1874,µm,Spot,Position,1,25309,
2195.22,-3538.42,1921.85,µm,Spot,Position,1,25331,
2323.6,-3615.72,1874,µm,Spot,Position,1,25337,
2325.12,-3592.53,1874,µm,Spot,Position,1,25342,
2318.14,-3574.81,1874,µm,Spot,Position,1,25344,
2378.11,-3526.9,1874,µm,Spot,Position,1,25349,
2379.74,-3531.78,1919.16,µm,Spot,Position,1,25361,
2485.22,-3575.89,1874,µm,Spot,Position,1,25372,
2481.61,-3520.29,1902.05,µm,Spot,Position,1,25388,
2471.49,-3558.88,1905.84,µm,Spot,Position,1,25389,
2471.59,-3572.72,1917.14,µm,Spot,Position,1,25390,
2463.38,-3587.77,1923.51,µm,Spot,Position,1,25391,
2471.15,-3509.86,1933.4,µm,Spot,Position,1,25394,
2569.59,-3617.34,1929.76,µm,Spot,Position,1,25422,
1996.92,-3458.23,1874,µm,Spot,Position,1,25451,
2160.19,-3417.18,1926.9,µm,Spot,Position,1,25512,
2456.48,-3438.16,1874,µm,Spot,Position,1,25596,
2456,-3454.53,1887.07,µm,Spot,Position,1,25603,
2460.48,-3406.87,1919.64,µm,Spot,Position,1,25610,
2140.43,-3262.23,1932.46,µm,Spot,Position,1,25744,
2600.95,-3301.71,1922.62,µm,Spot,Position,1,25850,
2096.45,-3182.21,1874,µm,Spot,Position,1,25928,
2086.63,-3179.59,1874,µm,Spot,Position,1,25929,
2120.43,-3170.06,1874,µm,Spot,Position,1,25930,
2144.68,-3166.56,1874,µm,Spot,Position,1,25931,
2171.37,-3140.33,1874,µm,Spot,Position,1,25932,
2114.79,-3143.43,1890.97,µm,Spot,Position,1,25938,
2077.62,-3195.4,1909.51,µm,Spot,Position,1,25942,
2165.42,-3138.36,1914.7,µm,Spot,Position,1,25943,
2068.3,-3217.37,1919.52,µm,Spot,Position,1,25946,
2117.45,-3179.5,1927.45,µm,Spot,Position,1,25948,
2132.75,-3218.44,1929.81,µm,Spot,Position,1,25949,
2138.76,-3177.95,1934.81,µm,Spot,Position,1,25950,
2054.84,-3056.47,1874,µm,Spot,Position,1,26091,
2055.77,-3048.03,1874,µm,Spot,Position,1,26107,
2075.88,-3018.94,1874,µm,Spot,Position,1,26108,
2092.23,-3135.06,1893.84,µm,Spot,Position,1,26110,
2071.93,-3114.95,1892.75,µm,Spot,Position,1,26111,
2096.95,-3120.36,1900.26,µm,Spot,Position,1,26114,
2099.66,-3034.17,1908.98,µm,Spot,Position,1,26115,
2129.43,-3123.52,1925.95,µm,Spot,Position,1,26116,
2124.46,-3091.57,1924.18,µm,Spot,Position,1,26117,
2136.63,-3038.52,1932.77,µm,Spot,Position,1,26118,
