Position X,Position Y,Position Z
1041.63,4514.24,1785.55
1126.14,4446.52,1794.27
1117.55,4446.29,1799.34
1064.26,4445.6,1806.32
1123.07,4462.71,1807.5
1072.45,4445.55,1809.24
1139.19,4468.92,1810.05
1166.6,4491.63,1810.09
1084.5,4445.47,1812.93
1531.64,4474.25,1762
1531.79,4511.58,1762
1588.96,4438.2,1762
1570.89,4443.93,1762
1550.55,4452.25,1762
1632.99,4432.44,1766.36
1548.79,4475.8,1786.53
1567.92,4473.64,1794.6
1557.7,4490.85,1794.07
1549.26,4514.44,1794.35
1570.06,4467.66,1798.75
1565.68,4486.59,1797.73
1599.59,4446.33,1803.08
1567.87,4512.8,1803.28
1580.61,4463.58,1806.62
1580.36,4516.57,1810.29
1608.2,4431.75,1813.17
1617.75,4445.71,1819.12
1587.14,4473.33,1818.23
1629.48,4437.21,1821.36
1591.81,4497.58,1822.84
1674.43,4459.79,1762
1685.47,4492.63,1762
1659.25,4448.5,1769.82
1684.46,4463.11,1778.65
1694.24,4486.4,1777.5
1694.22,4470.31,1790.26
1701.64,4468.92,1805.66
2204.43,4443.32,1793.58
2163.5,4484.57,1798.69
1013.19,4587.54,1775.32
1003.81,4560.57,1805.87
1008.92,4627.83,1812.63
1219.21,4527.69,1797.59
1232.3,4540.2,1797.92
1582.94,4574.99,1762
1622.97,4632.23,1773.66
1566.89,4525.14,1777.3
1642.7,4532.65,1777.95
1557.84,4548.73,1778.97
1553.11,4618.47,1783.79
1617.7,4634.75,1785.12
1613.21,4620.07,1791.1
1669.61,4525.53,1769.3
1687.94,4639.31,1772.73
1694.96,4529.26,1809.7
1692.23,4539.83,1814.17
1699.62,4530.52,1818.17
2170.66,4574.71,1803.07
1044.87,4661.85,1792.18
1072.32,4677.66,1776.74
1061.55,4671.36,1781.26
1327.77,4720.59,1779.16
1363.91,4719.55,1803.05
1439.55,4729.01,1794.26
1440.34,4740.6,1794.44
1639.87,4692.35,1786.96
1685.51,4645.52,1770.22
1696,4681.08,1793.2
1717.6,4711.43,1795.67
1693.98,4670.53,1798.06
1695.77,4664.57,1805.97
1697.61,4710.67,1805.44
1704.47,4709.15,1809.26
1708.09,4675.8,1813.74
1710.21,4668.44,1821.47
1494.66,4866.31,1792.86
1680.49,4813.89,1814.67
1680.75,4794.87,1821.76
1857.27,4811.89,1797.07
1801.67,4825.24,1796.76
1816.97,4800.18,1803.05
1853.96,4817.74,1804.63
1809.27,4802.87,1823.3
2087.43,4836.39,1821.4
2173.31,4876.1,1762
1753.24,4969.12,1796.15
1904.76,4946.22,1810.26
1902.27,4952.47,1813.08
2071.65,4894.59,1782.81
1547.34,5039.67,1806.73
1766.94,5068.89,1777.54
1909.12,5117.97,1822.29
1919.25,5127.51,1823.97
1765.23,5225.33,1762
1773.42,5220.1,1779.93
1761.32,5207.47,1795.17
1722.25,5168.69,1803.46
1770.77,5169.54,1815.86
1776.49,5206.14,1815.22
1762.81,5174.41,1817.18
1762.84,5187.52,1818.4
1860.97,5209.14,1762
1801.76,5234.84,1762
1896.8,5248.42,1762
1847.07,5245.6,1779.18
1860.74,5185.04,1788.98
1812.62,5237.12,1799.2
1831.97,5242.79,1804.64
1861.97,5163.42,1810.27
1941.13,5199.13,1762
1921.56,5246.69,1789.41
1935.51,5247.42,1791
1948.61,5246.77,1801.65
2117.96,5167.97,1784.96
2129.41,5187.6,1805.91
1294.59,5365.23,1798.58
1845.3,5300.13,1780.73
1776.9,5278.13,1786.03
1871.67,5303.14,1785.67
1787.36,5272.5,1797.78
1879.02,5301.08,1798.83
1836.4,5285.44,1806.26
1816.98,5277.6,1814.29
1841.36,5283.46,1814.3
1861.73,5250.51,1818.06
1850.93,5251.18,1816.36
1832.92,5280.12,1817.32
1837.63,5256.33,1823.69
1957.84,5280.16,1764.96
1946.47,5255.51,1773.7
1944.88,5306.64,1781.98
1918.26,5304.76,1797.87
1995.57,5265.22,1809.79
1926.35,5301.95,1819.53
2004.86,5280.05,1820
2280.03,5309.08,1782.06
2452.09,5276.28,1775.68
2414.6,5347.9,1778.26
2406.19,5255.24,1809.97
1293.12,5372.05,1772.53
1287.88,5384.62,1793.71
1295.29,5388.09,1802.55
1839.02,5417.5,1774.35
2407.81,5411.84,1762
2401.27,5403.78,1792.58
1368.21,5585.58,1762
1395.12,5552.18,1806.16
1184.35,5720.76,1769.07
994.342,5789.34,1802.24
976.387,5788.09,1805.09
1011.37,5773.9,1815.18
1071.98,5778.98,1773.43
1063.33,5775.15,1776.16
1071.65,5783.44,1783.67
