Position X,Position Y,Position Z
979.077,4346.72,1819.58
1080.61,4312.56,1804.67
1112.56,4375.8,1823.97
1288.03,4372.98,1795.63
1306.16,4344.44,1798.18
1396.15,4375.95,1812.4
970.467,4453.33,1762
1031.94,4481.46,1789.62
1047.88,4490.08,1788.3
993.098,4480.45,1802.69
1019.94,4522.7,1803.16
992.363,4429.85,1807.06
968.849,4450.64,1821.84
1083.23,4498.5,1769.72
1053.67,4475.21,1792.46
1110.22,4496.65,1797.24
1054.53,4429.12,1817.13
1137.17,4465.41,1820.95
1202.45,4462.09,1762
1222.94,4475.49,1768.42
1626.97,4431.21,1784.38
1671.94,4514.35,1762
1676.47,4453.38,1798.32
1693.06,4518.41,1801.88
1708.04,4502.13,1817.83
2287.7,4422.04,1807.48
974.987,4635.17,1769.64
1028.54,4554.97,1773.74
976.358,4628.24,1782.84
976.849,4621.54,1794.01
1014.3,4581.51,1796.21
1016.19,4532.45,1808.89
965.385,4611.75,1822.12
1072.78,4598.46,1762
1138.5,4642.29,1776.42
1085.56,4625.07,1791.47
1081.97,4620.78,1797.05
1076.19,4613.78,1806.2
1071.17,4608.15,1813.9
1104.86,4642.2,1813.14
1233.83,4542.1,1766.26
1275.1,4544.37,1767.4
1290.95,4602.69,1782.83
1266.46,4578.17,1786.73
1298.33,4592.41,1773.14
1623.47,4526.37,1762
1647.36,4597.55,1762
1611.19,4618.59,1806.88
1617.57,4634.57,1821.19
1670.69,4535.02,1778.03
1761.1,4639.13,1793.66
1803.46,4621.82,1813.49
1975.66,4571.21,1783.48
1991.59,4610.82,1786.9
1938.84,4562.16,1808.98
2172.25,4634.91,1814.21
1037.82,4664.42,1762
1045.98,4664.16,1773.28
1069.39,4683.47,1762
1074.67,4692.35,1762
1171.97,4714.23,1762
1125.09,4670.8,1789.89
1199.9,4682.93,1773.82
1257.83,4673.34,1778.06
1233.16,4690.8,1779.52
1235.08,4746.14,1788.95
1232.71,4693,1795.6
1254.68,4681.3,1814.24
1307.07,4763.3,1783.17
1344.05,4707.18,1789.7
1354.24,4755.42,1792.8
1511.4,4759.08,1762
1480.61,4764.06,1762
1450.51,4679.36,1792.09
1604.82,4709.18,1773.51
1585.44,4691.08,1807.55
1622.41,4762.78,1819.96
1630.18,4689.97,1820.03
1659.44,4661.27,1762
1758.56,4646.82,1772.08
1735.66,4716.3,1778.98
1669.46,4703.82,1797.6
1668.13,4712.43,1800.29
1864.83,4753.73,1788.72
1787.22,4763.4,1815.42
1971.86,4722.9,1762
1983.1,4732.24,1782.64
2000.75,4717.12,1822.6
2035.09,4660.7,1798.23
1166.35,4850.73,1790.28
1159.16,4844.25,1794.54
1113.98,4863.7,1815.24
1258.82,4786.65,1774.27
1277.14,4788.68,1774.75
1279.88,4819.85,1801.9
1359.34,4781.62,1762
1301.62,4879.79,1762
1346.8,4768.28,1773.08
1364.99,4776.69,1784.51
1352.84,4766.6,1789.36
1408.41,4874.39,1798.74
1362.08,4826.62,1801.68
1332.86,4884.51,1821.97
1525.62,4819.75,1790.27
1534.05,4823.04,1810.32
1577.54,4838.54,1762
1584.04,4781.15,1796.76
1745.95,4820.23,1762
1727.42,4841.41,1762
1717.04,4788.11,1778.17
1740.95,4831.78,1778.61
1674.19,4835.31,1786.16
1751.62,4838.39,1794.48
1715.78,4793.2,1802.61
1764.44,4848.27,1817.85
1896.31,4801.29,1762
1778.54,4808.85,1762
1789.64,4811.25,1771.23
1895.93,4808.93,1785.1
1837.84,4862.67,1788.73
1789.7,4836.64,1810.2
1779.3,4843.88,1816.74
1877.05,4855.59,1823.24
1912.66,4828.23,1762
1970.78,4826.95,1778.69
1914.31,4834.75,1793.92
1988.99,4802.84,1797.4
1989.75,4803.12,1809.2
2028.33,4831.1,1762
2090.38,4843.71,1790.96
2036.31,4868.79,1799.23
2054.16,4841.21,1802.98
2079.29,4794.74,1808.58
2057.94,4782.04,1817.93
2084.36,4789.21,1822.53
2038.4,4809.87,1822.13
2056.93,4835.83,1821.65
2151.85,4839.46,1815.37
1029.93,4928.35,1762
986.737,4930.42,1762
1044.68,4987.11,1769.52
1036.73,4905.12,1798.06
1013.02,4893.4,1814.41
1100.43,5006.36,1771.83
1084.8,4996.68,1809.45
1070.09,4935.75,1817.36
1282.4,4928.16,1762
1293.09,4967.33,1780.03
1199.34,4996.87,1823.12
1375.94,5003.35,1762
1365.08,4949.57,1817.21
1313.82,4962.78,1819.25
1379.26,4966.88,1822.34
1556.28,4899.5,1773.76
1630.18,4963.53,1789.91
1602.73,4920.8,1797.76
1723.57,4939.02,1787.48
1767.97,4899.34,1798.95
1725.91,4900.57,1806.93
1785.57,4898.78,1783.49
1806.47,4984.35,1793.4
1811.88,4946.07,1801.45
1817.53,4941.24,1810.34
1891.13,4970.52,1809.41
1887.41,4987.1,1821.07
1902.49,4895.33,1762
2065.98,4891.32,1762
2114.96,4933.45,1786.09
2092.27,4903.32,1790.27
2119.1,4926.23,1790.46
2150.85,4924.83,1762
2235.64,5005.76,1770.67
2226.78,4952.72,1773.58
2180.1,4924.5,1779.69
2197.75,4931.02,1782.74
2188.42,4903.51,1793.51
2176.46,4999.9,1809.13
2459.59,4979.21,1762
2459.59,4897.2,1797.13
2412.69,4895.49,1805.69
1050.15,5039.14,1762
1046.13,5059.41,1765.04
959.102,5096.9,1766.94
1035.9,5051.38,1802.86
1000.98,5126.86,1809.96
1000.96,5116.94,1818.54
1037.87,5035.56,1822.27
1080.47,5068.3,1762
1119.97,5068.74,1762
1090.97,5009.52,1782.99
1122.84,5044.9,1781.16
1077.64,5097.57,1818.31
1229.31,5110.09,1801.23
1374.47,5092.68,1775.55
1349.57,5067.41,1782.31
1388.66,5090.21,1798.12
1495.52,5125.26,1762
1486.32,5107.46,1789.82
