
Detailed
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
139.723,1916.26,986,µm,Spot,Position,1,88049,
120.116,1933.97,986,µm,Spot,Position,1,88050,
104.639,1893.59,995.376,µm,Spot,Position,1,88051,
140.435,1916.11,1006.91,µm,Spot,Position,1,88052,
114.032,1885.35,1014.33,µm,Spot,Position,1,88053,
135.942,1923.99,1038.3,µm,Spot,Position,1,88054,
184.769,1950.98,994.018,µm,Spot,Position,1,88064,
196.278,1936.18,1009.56,µm,Spot,Position,1,88067,
196.229,1935.06,1019.65,µm,Spot,Position,1,88068,
142.895,2062.26,986,µm,Spot,Position,1,88160,
95.2485,2040.93,1018.71,µm,Spot,Position,1,88161,
206.351,1983.89,986,µm,Spot,Position,1,88162,
183.261,2045.53,986,µm,Spot,Position,1,88165,
189.147,2054.72,986,µm,Spot,Position,1,88166,
201.935,2065.11,986,µm,Spot,Position,1,88167,
-31.0531,2175.6,1047.56,µm,Spot,Position,1,88266,
156.121,2083.65,986,µm,Spot,Position,1,88267,
148.574,2138.25,986,µm,Spot,Position,1,88268,
113.462,2092.93,993.999,µm,Spot,Position,1,88269,
109.625,2093.82,1005.68,µm,Spot,Position,1,88270,
211.589,2081.22,986,µm,Spot,Position,1,88271,
240.262,2118.79,986,µm,Spot,Position,1,88272,
209.289,2120.99,986,µm,Spot,Position,1,88273,
179.3,2131.67,986,µm,Spot,Position,1,88274,
235.097,2138.53,986,µm,Spot,Position,1,88275,
187.136,2151.58,986,µm,Spot,Position,1,88276,
189.641,2161.78,986,µm,Spot,Position,1,88277,
163.733,2298.51,986,µm,Spot,Position,1,88371,
160.693,2299.25,994.595,µm,Spot,Position,1,88372,
76.9727,2218.97,1022.4,µm,Spot,Position,1,88373,
151.316,2205.48,1026.81,µm,Spot,Position,1,88374,
139.691,2294.47,1028.86,µm,Spot,Position,1,88375,
122.393,2229.04,1042.23,µm,Spot,Position,1,88376,
129.508,2252.24,1041.92,µm,Spot,Position,1,88377,
211.891,2207.9,986,µm,Spot,Position,1,88378,
208.184,2218.72,986,µm,Spot,Position,1,88379,
232.936,2223.22,986,µm,Spot,Position,1,88380,
210.154,2258.91,986,µm,Spot,Position,1,88381,
214.454,2271.65,986,µm,Spot,Position,1,88382,
268.705,2289.02,986,µm,Spot,Position,1,88383,
219.27,2293.56,986,µm,Spot,Position,1,88384,
270.165,2310.43,986,µm,Spot,Position,1,88385,
400.896,2300.42,1017.77,µm,Spot,Position,1,88389,
-66.6664,2423.02,986,µm,Spot,Position,1,88452,
9.70383,2379.86,996.957,µm,Spot,Position,1,88453,
16.3897,2391.56,1002.54,µm,Spot,Position,1,88454,
122.282,2356,986,µm,Spot,Position,1,88456,
111.6,2410.8,1003.37,µm,Spot,Position,1,88457,
119.846,2410.24,1005.94,µm,Spot,Position,1,88458,
73.0617,2366.19,1011.49,µm,Spot,Position,1,88459,
163.979,2346.78,1012.4,µm,Spot,Position,1,88460,
153.053,2324.12,1017.6,µm,Spot,Position,1,88461,
151.451,2320.63,1024.45,µm,Spot,Position,1,88462,
73.4546,2364.89,1026.04,µm,Spot,Position,1,88463,
249.861,2321.78,986,µm,Spot,Position,1,88464,
235.761,2326.92,986,µm,Spot,Position,1,88465,
248.897,2328.88,986,µm,Spot,Position,1,88466,
243.256,2374.63,986,µm,Spot,Position,1,88467,
280.368,2375.26,986,µm,Spot,Position,1,88468,
244.183,2396.78,986,µm,Spot,Position,1,88469,
287.393,2418.18,986,µm,Spot,Position,1,88470,
175.305,2403.15,1011.41,µm,Spot,Position,1,88471,
297.096,2377.63,986,µm,Spot,Position,1,88472,
325.646,2394.88,998.257,µm,Spot,Position,1,88473,
301.245,2346.05,1000.99,µm,Spot,Position,1,88474,
377.637,2331.19,1034.49,µm,Spot,Position,1,88475,
45.5246,2484.16,986,µm,Spot,Position,1,88506,
-66.6664,2501.13,986,µm,Spot,Position,1,88507,
40.5736,2554.18,1004.46,µm,Spot,Position,1,88508,
-46.9043,2523.75,1008.54,µm,Spot,Position,1,88509,
69.137,2464.54,986,µm,Spot,Position,1,88510,
111.613,2527.88,993.99,µm,Spot,Position,1,88511,
109.591,2465.68,998.763,µm,Spot,Position,1,88512,
123.074,2523.88,1005.3,µm,Spot,Position,1,88513,
130.112,2524.92,1005.48,µm,Spot,Position,1,88514,
273.917,2444.71,986,µm,Spot,Position,1,88515,
253.073,2453.31,986,µm,Spot,Position,1,88516,
276.375,2465.52,986,µm,Spot,Position,1,88517,
289.593,2528.81,990.577,µm,Spot,Position,1,88518,
288.269,2554.21,991.601,µm,Spot,Position,1,88519,
290.646,2492.55,1000.68,µm,Spot,Position,1,88520,
247.723,2554.69,1006.56,µm,Spot,Position,1,88521,
186.188,2457.56,1008.41,µm,Spot,Position,1,88522,
199.017,2531.37,1011.15,µm,Spot,Position,1,88523,
199.616,2551.52,1015.52,µm,Spot,Position,1,88524,
269.039,2482.25,1032.59,µm,Spot,Position,1,88525,
397.205,2532.27,986,µm,Spot,Position,1,88526,
359.839,2533.18,986,µm,Spot,Position,1,88527,
352.501,2468.1,993.323,µm,Spot,Position,1,88528,
342.117,2511.45,1016.41,µm,Spot,Position,1,88529,
371.895,2480.23,1024.27,µm,Spot,Position,1,88530,
310.166,2484.68,1040.48,µm,Spot,Position,1,88531,
531.34,2460.6,986,µm,Spot,Position,1,88532,
-66.6664,2585.14,986,µm,Spot,Position,1,88535,
99.5957,2585.14,986,µm,Spot,Position,1,88536,
113.747,2585.14,988.689,µm,Spot,Position,1,88537,
