
Detailed
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
622.532,1716.95,1023.54,µm,Spot,Position,1,0,
615.667,1723.42,1021.97,µm,Spot,Position,1,1,
614.116,1869.67,996.726,µm,Spot,Position,1,2,
118.179,1950.85,991.809,µm,Spot,Position,1,3,
135.461,1911.34,995.316,µm,Spot,Position,1,4,
104.105,1912.52,1015.62,µm,Spot,Position,1,5,
102.882,2065.87,1015.5,µm,Spot,Position,1,6,
460.974,2046.75,1014.29,µm,Spot,Position,1,7,
138.486,2220.44,984.486,µm,Spot,Position,1,8,
74.0513,2205.72,1014.51,µm,Spot,Position,1,9,
61.3469,2223.81,1025.65,µm,Spot,Position,1,10,
138.52,2208.27,1031.3,µm,Spot,Position,1,11,
534.365,2218.33,1026.67,µm,Spot,Position,1,12,
557.531,2187.8,1028.05,µm,Spot,Position,1,13,
179.718,2260.19,1034.31,µm,Spot,Position,1,14,
459.967,2241.01,1028.7,µm,Spot,Position,1,15,
540.658,2346.95,986.869,µm,Spot,Position,1,16,
547.277,2324.87,992.513,µm,Spot,Position,1,17,
-71.2265,2422.1,985.321,µm,Spot,Position,1,18,
347.005,2428.28,1030.33,µm,Spot,Position,1,19,
22.2139,2542.45,1026.56,µm,Spot,Position,1,20,
3.86852,2536.06,1030.18,µm,Spot,Position,1,21,
-36.6349,2530.78,1034.78,µm,Spot,Position,1,22,
45.3686,2555.91,1026.89,µm,Spot,Position,1,23,
54.9432,2561.21,1029.87,µm,Spot,Position,1,24,
61.4607,2568.08,1033.4,µm,Spot,Position,1,25,
356.142,2535.18,991.51,µm,Spot,Position,1,26,
367.605,2570.49,990.385,µm,Spot,Position,1,27,
368.603,2573.68,1001.62,µm,Spot,Position,1,28,
359.52,2549.22,1004.3,µm,Spot,Position,1,29,
355.341,2531.26,1008.66,µm,Spot,Position,1,30,
373.53,2482.53,1035,µm,Spot,Position,1,31,
260.857,1599.33,1038.06,µm,Spot,Position,1,32,
637.514,1675.65,1066.18,µm,Spot,Position,1,33,
316.621,2035.06,1056.66,µm,Spot,Position,1,34,
38.9146,2232.63,1041.15,µm,Spot,Position,1,35,
40.2604,2226.02,1037.2,µm,Spot,Position,1,36,
-35.9835,2289.21,1051.3,µm,Spot,Position,1,37,
-30.1021,2294.75,1057.93,µm,Spot,Position,1,38,
-70.1971,2267.71,1074.84,µm,Spot,Position,1,39,
47.5618,2310.93,1086.14,µm,Spot,Position,1,40,
161.964,2238.13,1039.71,µm,Spot,Position,1,41,
309.061,2310.79,1058.04,µm,Spot,Position,1,42,
316.609,2320.42,1059.17,µm,Spot,Position,1,43,
365.119,2303.25,1081.32,µm,Spot,Position,1,44,
18.2336,2387.8,1056.59,µm,Spot,Position,1,45,
418.473,2398.12,1053.94,µm,Spot,Position,1,46,
428.068,2403.73,1055.04,µm,Spot,Position,1,47,
415.771,2396.08,1068.5,µm,Spot,Position,1,48,
575.169,2421.17,1098.31,µm,Spot,Position,1,49,
