
Detailed
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
115.558,1705.74,994.271,µm,Spot,Position,1,0,
147.969,1736.77,1022.24,µm,Spot,Position,1,1,
112.697,1693.29,1025.59,µm,Spot,Position,1,2,
89.5514,1728.07,1026.35,µm,Spot,Position,1,3,
201.175,1749.55,982.578,µm,Spot,Position,1,4,
174.704,1738.88,994.831,µm,Spot,Position,1,5,
306.281,1726.9,999.058,µm,Spot,Position,1,6,
523.987,1739.9,1023.39,µm,Spot,Position,1,7,
23.7,1852.54,1025.06,µm,Spot,Position,1,8,
332.513,1786.9,991.079,µm,Spot,Position,1,9,
655.852,1776.54,981.345,µm,Spot,Position,1,10,
653.122,1776.59,1013.27,µm,Spot,Position,1,11,
60.1478,1968.09,1004.94,µm,Spot,Position,1,12,
252.811,1990.98,979.873,µm,Spot,Position,1,13,
331.779,1945.3,1006.84,µm,Spot,Position,1,14,
283.45,1987.78,1017.16,µm,Spot,Position,1,15,
413.687,1872.55,997.228,µm,Spot,Position,1,16,
591.264,1910.54,998.043,µm,Spot,Position,1,17,
547.498,1991.53,1003.39,µm,Spot,Position,1,18,
625.851,1908.99,1027.83,µm,Spot,Position,1,19,
745.182,1963.87,993.396,µm,Spot,Position,1,20,
740.594,1941.48,1010.1,µm,Spot,Position,1,21,
776.04,1958.9,995.041,µm,Spot,Position,1,22,
802.3,1991.65,1019.5,µm,Spot,Position,1,23,
449.781,2038.72,1010.14,µm,Spot,Position,1,24,
475.979,2056.17,1010.43,µm,Spot,Position,1,25,
475.666,2060.69,1016.96,µm,Spot,Position,1,26,
452.918,2044.09,1027.22,µm,Spot,Position,1,27,
478.205,2022.69,1032.25,µm,Spot,Position,1,28,
555.002,2008.29,983.818,µm,Spot,Position,1,29,
558.285,1994.39,994.874,µm,Spot,Position,1,30,
568.495,2002.56,993.337,µm,Spot,Position,1,31,
756.251,2101.96,1010.63,µm,Spot,Position,1,32,
-12.8413,2214.04,999.36,µm,Spot,Position,1,33,
505.309,2211.29,1012.44,µm,Spot,Position,1,34,
465.953,2233.1,1015.52,µm,Spot,Position,1,35,
475.336,2119.79,1029.64,µm,Spot,Position,1,36,
619.245,2180.84,1013.16,µm,Spot,Position,1,37,
639.301,2172.58,1016.94,µm,Spot,Position,1,38,
587.265,2184.58,1022.7,µm,Spot,Position,1,39,
531.156,2202.93,1026.24,µm,Spot,Position,1,40,
645.883,2123.74,988.974,µm,Spot,Position,1,41,
686.223,2154.05,1004.46,µm,Spot,Position,1,42,
759.805,2140.28,1011.83,µm,Spot,Position,1,43,
663.558,2152.93,1009.96,µm,Spot,Position,1,44,
800.887,2142.46,1004.56,µm,Spot,Position,1,45,
295.579,2334.83,1022.85,µm,Spot,Position,1,46,
434.759,2257.77,1016.82,µm,Spot,Position,1,47,
583.601,2236.64,1002.1,µm,Spot,Position,1,48,
546.551,2248.24,1000.19,µm,Spot,Position,1,49,
552.248,2251.69,1012.36,µm,Spot,Position,1,50,
765.85,2282.49,982.964,µm,Spot,Position,1,51,
331.795,2405.64,1014.25,µm,Spot,Position,1,52,
404.53,2377.2,999.499,µm,Spot,Position,1,53,
414.74,2374.95,1019.09,µm,Spot,Position,1,54,
651.259,2389.25,1004.49,µm,Spot,Position,1,55,
366.5,2479.54,1021.86,µm,Spot,Position,1,56,
115.46,1605.98,1082.49,µm,Spot,Position,1,57,
104.165,1610.7,1090.06,µm,Spot,Position,1,58,
381.469,1615.83,1061.94,µm,Spot,Position,1,59,
328.809,1616.94,1066.5,µm,Spot,Position,1,60,
322.714,1599.47,1093,µm,Spot,Position,1,61,
481.911,1596.58,1066.07,µm,Spot,Position,1,62,
586.857,1629.82,1080.26,µm,Spot,Position,1,63,
58.8475,1716.63,1064.6,µm,Spot,Position,1,64,
226.278,1691.46,1055.13,µm,Spot,Position,1,65,
224.263,1706.4,1053.29,µm,Spot,Position,1,66,
231.154,1726.55,1065.54,µm,Spot,Position,1,67,
690.614,1672.46,1066.7,µm,Spot,Position,1,68,
720.597,1748.28,1092.05,µm,Spot,Position,1,69,
785.414,1735.47,1039.1,µm,Spot,Position,1,70,
87.0689,1753.72,1049.49,µm,Spot,Position,1,71,
150.767,1758.77,1063.91,µm,Spot,Position,1,72,
190.352,1769.03,1086.79,µm,Spot,Position,1,73,
359.766,1772.52,1083.46,µm,Spot,Position,1,74,
356.139,1760,1094.61,µm,Spot,Position,1,75,
431.711,1783.97,1088.58,µm,Spot,Position,1,76,
