Position X,Position Y,Position Z
425.328,1643.11,996.174
424.528,1686.36,1002.23
428.65,1703.05,1002.17
425.16,1617.07,1005.73
423.79,1595.94,1008.86
487.278,1623.94,1042.13
621.877,1668.01,986
632.139,1693.56,992.266
657.688,1713.14,998.078
644.481,1595.94,1014.56
625.024,1681.16,1042.68
759.671,1604.22,986
709.521,1686.56,986
709.426,1683.29,1012.34
173.139,1737.05,986
439.334,1729.67,1000.28
436.419,1761.19,1004.93
442.516,1789.08,1020.85
519.502,1720.68,1045.02
648.789,1729.14,1008.97
554.611,1788.16,1035.04
767.47,1748.98,986
756.986,1808.73,986
684.015,1809.97,1005.7
-66.6664,1909.08,1006.37
255.443,1872.39,986
265.097,1889.57,986
267.387,1903.02,986
267.919,1937.35,986
198.827,1939.1,1031.04
190.691,1918.91,1041.1
429.783,1906.57,997.098
424.456,1878.51,1003.61
421.648,1890.81,1000.85
433.088,1847.41,1015.18
559.876,1931.35,986
576.482,1931.57,986
609.299,1872.07,991.375
571.347,1840.5,998.939
622.23,1897.24,1020.85
613.016,1888.51,1026.04
284.881,1958.13,986
240.992,2054.31,1037.09
231.306,2003.7,1042.39
241.367,2064.28,1041.32
297.565,2023.23,1019
420.293,2015.49,989.826
455.925,2045.31,1005.38
459.925,2052.46,1005.43
576.989,2027.46,1038.12
244.125,2081.66,1042.85
266.505,2186.6,1042.85
253.063,2130.79,1046.85
260.717,2170.98,1045.42
450.768,2078.96,1017.35
761.136,2136.69,1004.66
143.76,2219.18,1022.94
176.921,2254.58,1029.57
294.959,2285.38,1038.9
290.305,2266.59,1043
536.854,2224.34,1012.54
540.197,2293.58,986
541.478,2247,1002.5
537.498,2290.33,1000.34
538.619,2230.56,1010.6
277.905,2336.68,1020.2
249.734,2326.5,1026.02
324.133,2391.01,1011.06
328.568,2402.18,1010.95
341.132,2422.84,1010.49
333.692,2339.1,1042.21
731.627,2392.46,1026.99
357.86,2519.39,986
355.202,2542.52,986
346.701,2466.39,998.129
371.761,2484.28,1018.62
94.4146,1595.94,1075.34
94.7345,1612.29,1073.36
405.719,1674.88,1110.99
471.968,1603.49,1059.21
463.794,1611.34,1097.94
439.242,1614.99,1101.24
763.951,1646.07,1050.88
708.046,1674.59,1050.18
762.892,1649.78,1070.52
666.692,1665.91,1074.4
709.425,1673.78,1083.06
714.111,1681.2,1105.62
668.981,1663.37,1109.76
121.026,1811.49,1082.06
155.123,1829.46,1084.93
160.781,1807.96,1098.98
342.584,1829.88,1050.08
467.318,1734.4,1059.71
532.623,1719.23,1062.48
611.287,1716.77,1049.48
581.386,1731.65,1053.73
635.894,1824.31,1052.66
673.174,1765.82,1059.31
159.525,1849.89,1070.32
604.049,1864.69,1060.63
223.145,1983.79,1048.96
237.207,2041.38,1050.3
263.1,2004.02,1111.26
273.975,2037.06,1110.22
319.47,2036.33,1053.45
318.242,2058.83,1084.2
296.097,2065.61,1110.14
555.004,1981.75,1050.62
625.469,1998.33,1109.25
252.296,2117.23,1056.44
272.513,2167.69,1105.56
268.991,2161.48,1110.6
341.057,2110.61,1093
327.258,2118.03,1093.9
309.259,2095.25,1097.41
318.53,2135.28,1099.71
300.744,2099.74,1103.74
359.208,2124.39,1104.43
314.023,2151.07,1104.09
301.406,2151.87,1104.19
809.875,2143.22,1080.48
812.775,2139.85,1106.79
806.326,2149.21,1107.16
809.484,2143.48,1108.88
355.535,2316.6,1064.74
363.765,2303.66,1075.54
376.614,2291.69,1087.58
409.944,2300.25,1090.67
339.61,2225.41,1098.38
462.064,2316.64,1099.87
349.928,2326.58,1057.97
502.121,2440.69,1052.94
451.12,2402.39,1061.42
526.565,2399.7,1066.3
502.815,2373.46,1073.7
483.591,2327.51,1109.66
575.151,2427.08,1058.17
590.861,2434.97,1061.43
654.419,2358.78,1075.45
639.819,2438.67,1073.69
657.538,2440.53,1073.71
812.918,2352.39,1100.69
106.688,2497.58,1099.94
112.616,2480.67,1108.08
365.141,2471.09,1058.21
172.992,1616.53,1161.8
178.599,1711.51,1145.5
175.121,1654.54,1148.7
175.144,1605.02,1165.14
313.408,1607.34,1172.82
427.951,1595.94,1122.52
444.516,1595.94,1122.18
470.905,1650.75,1123.04
433.503,1616.16,1131.29
633.827,1698.16,1142.81
619.328,1698.77,1147.12
594.273,1657.92,1150.26
614.888,1701.15,1152.66
668.55,1661.15,1120.53
755.648,1595.94,1158.66
747.574,1612.78,1170.15
172.885,1757.78,1129.14
179.797,1777.44,1119.23
258.258,1819.72,1158.5
259.067,1793.16,1166.12
270.169,1771.69,1175.15
384.22,1736.18,1145.13
386.253,1729.1,1149.19
634.503,1765.43,1123.12
627.946,1780.16,1123.56
546.807,1756.06,1137.69
249.745,1922.31,1121.74
242.321,1891.87,1124.27
256.673,1897.74,1127.29
263.771,1887.63,1134.67
278.447,1946.07,1137.87
266.554,1846.65,1158.83
303.344,1942.86,1153.79
322.897,1935.58,1174.58
533.263,1951.28,1168.38
591.575,1845,1169.71
784.178,1897.42,1145.37
264.386,1997.5,1113.37
288.926,2049.96,1112.08
268.761,1974.88,1122.47
518.497,1996.26,1142.59
264.198,2159.31,1116.85
249.355,2122.85,1154.17
407.451,2118.96,1134.04
394.481,2139.56,1167.29
418.355,2121.58,1162.03
625.73,2184.59,1166.81
746.034,2180.55,1120.4
724.472,2196.3,1129.61
687.282,2189.72,1133.33
717.868,2198.58,1132.58
705.896,2117.74,1145.72
718.491,2124.25,1157.52
716.531,2104.96,1167.88
707.805,2130.35,1164.77
785.16,2174.82,1115.19
518.858,2304.31,1146.58
656.216,2279.43,1124.69
590.991,2275.72,1168.71
554.712,2295.82,1169.31
601.336,2271.67,1174.46
542.028,2307.43,1172.98
677.998,2273.67,1119.36
663.178,2272.29,1134.05
488.694,2326,1113.9
492.307,2324.58,1117.74
496.813,2322.56,1122.05
-66.6664,2490.82,1158.89
-57.304,2553.33,1158.27
-66.6664,2561.17,1156.97
178.075,2523.94,1144.94
354.093,2469.13,1142.33
490.523,2480.11,1162.1
-40.021,2585.14,1122.5
-28.5321,2585.14,1121.99
-64.7938,2566.32,1154.08
-12.5759,2563.84,1157.29
328.628,2585.14,1152.26
322.444,2574.06,1162.22
496.127,2585.14,1148.62
480.556,2581.18,1155.26
472.364,2585.14,1158.39
476.359,2572.53,1165.67
251.566,1603.37,1178.11
313.295,1617.03,1181.63
510.094,1670.54,1211.54
455.129,1683.51,1210.1
600.006,1675.49,1179.59
637.512,1614.43,1184.76
651.593,1629.56,1188.95
594.293,1654.45,1200.28
598.976,1670.43,1202.76
621.326,1666.88,1211.02
639.216,1663.05,1213.04
656.168,1691.74,1232.89
739.949,1629,1179.36
710.114,1635.32,1189.57
708.249,1673.17,1219.29
745.631,1674.47,1220.81
679.649,1671.39,1230.52
664.839,1703.38,1230
786.558,1693.79,1222.56
328.519,1807.48,1196.78
368.499,1722.34,1204.81
411.381,1718.59,1210.49
394.53,1722.58,1210.23
413.489,1727.76,1213.49
502.312,1753.81,1206.08
472.453,1759.01,1221.71
494.688,1765.41,1222.86
591.9,1747.09,1229.81
579.916,1734.54,1239.82
738.56,1718.35,1229.22
764.691,1727.88,1234.14
811.012,1810.13,1197.85
804.128,1784.03,1218.21
804.514,1793.19,1221.06
805.63,1738.1,1228.86
800.753,1822.4,1235.57
816.814,1743.47,1238.19
816.814,1763.69,1237.04
19.431,1868.12,1238.29
348.447,1932.26,1193.57
409.625,1922.71,1223.69
425.4,1919.84,1233.06
434.317,1916.99,1236.68
570.328,1852.79,1227.47
746.223,1869.74,1239.82
816.814,1845.14,1191.18
482.1,2010.36,1178.57
475.231,2013.92,1215.69
450.51,2013.39,1216.33
485.345,2040.13,1225.42
500.076,2044.99,1228.58
534.609,2046.12,1231.07
515.36,2067.38,1234.85
610.419,2060.61,1221.11
580.552,1974.41,1228.55
235.277,2100.36,1185.65
227.61,2098.52,1236.43
436.96,2119.93,1186.45
454.235,2142.48,1194.3
468.942,2146.31,1199.18
494.984,2190.93,1216.73
625.978,2093.32,1218.66
587.669,2186.11,1225.87
630.249,2183.76,1230.1
707.937,2104.91,1181.87
692.082,2112.48,1182.5
683.995,2114.89,1189.63
455.323,2262.54,1176.17
444.216,2234.9,1196.82
457.231,2259.72,1198.99
437.509,2205.18,1209.86
440,2213.93,1209.53
437.758,2200.79,1213.27
606.34,2267.17,1177.32
538.273,2311.5,1177.45
634.76,2234.96,1182.55
653.937,2209.9,1184.62
630.302,2214.45,1185.98
591.987,2216.81,1189.06
633.82,2213.03,1193.32
638.869,2212.98,1197.4
576.612,2217.39,1198.49
261.644,2387.32,1196.6
268.415,2419.69,1210.96
270.179,2423.96,1214.54
452.702,2423.42,1179.3
531.422,2354.67,1204.93
504.983,2365.12,1217.82
607.848,2378.62,1190.63
587.206,2394.52,1193.95
649.842,2353.97,1198.78
557.819,2363.44,1198.03
571.745,2428.65,1202.48
557.312,2432.26,1203.51
658.1,2340.1,1211.24
658.091,2322.54,1217.8
285.508,2512.12,1200.92
253.864,2499.89,1204.79
278.213,2497.85,1214.07
262.775,2502.9,1221.22
279.367,2444.06,1237.53
326.629,2546.2,1190.02
324.799,2536.24,1211.37
324.825,2497.66,1212.91
317.623,2539.49,1222.03
520.861,2454.41,1220.51
579.921,2508.35,1185.05
550.912,2495.55,1201.26
675.55,2547.2,1200.2
161.554,2585.14,1212.23
294.659,2570.89,1229.75
365.942,2585.14,1197.51
414.829,2580.81,1218.7
536.127,1617.68,1291.71
515.432,1618.21,1296.85
630.359,1695.18,1242.08
641.143,1664.16,1249.67
625.234,1675.35,1248.69
602.37,1704.69,1263.06
597.171,1710.16,1267.18
567.302,1660.03,1278.5
560.345,1661.54,1281.55
570.913,1703.39,1281.17
680.197,1684.11,1286.95
792.977,1608.13,1276.76
806.863,1649.95,1287.29
786.718,1686.97,1294.62
170.94,1735.62,1299.4
166.632,1721.57,1300.83
113.36,1832.94,1302.02
174.638,1749.36,1299.21
176.759,1762.07,1300.12
650.85,1791.56,1240.52
597.873,1758.88,1246.56
608.46,1793.08,1266.37
574.007,1815.98,1264.47
574.601,1829.06,1264.16
561.657,1798.78,1289.88
612.874,1785.32,1295.89
738.657,1735.53,1248.84
718.415,1717.41,1266.48
692.423,1805.19,1270.19
703.252,1810.99,1281.08
777.326,1821.43,1281.04
798.664,1754.29,1253.84
799.813,1730.09,1290.04
102.308,1837.28,1296.68
194.66,1953.56,1284.73
179.363,1874.03,1298.43
199.242,1891.48,1300.7
503.912,1932.74,1251.48
494.772,1938.83,1251.91
599.71,1929.66,1247.7
562.463,1953.81,1245.7
631.902,1919.48,1249.76
585.186,1852.07,1255.09
581.826,1839.89,1259.19
560.033,1845.37,1257.1
548.522,1848.16,1256.12
591.672,1890.14,1256.8
606.545,1900.48,1262.9
601.548,1908.04,1289.26
580.623,1896.04,1297.19
766.749,1868.59,1242.71
760.409,1871.99,1253.74
744.395,1885.98,1256.94
660.757,1911.4,1270.71
745.192,1932.8,1271.26
768.798,1941.13,1270.32
747.1,1943.33,1281.67
803.967,1841.05,1270.25
779.328,1844.14,1275.79
205.032,2007.76,1278.44
217.305,2018.75,1289.54
224.951,2130.01,1288.21
235.045,2158.55,1291.55
247.01,2195.18,1294.92
510.924,2090.9,1241.33
528.197,2094.36,1248.66
455.26,2173.32,1254.63
442.172,2189.91,1290.67
449.507,2176.03,1293.67
616.226,2167.24,1250.44
553.847,2104.55,1252.41
576.145,2140.36,1279.48
550.806,2136.87,1295.84
