
Detailed
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
911.133,-358.08,1094,µm,Spot,Position,1,329228,
973.599,-434.462,1111.04,µm,Spot,Position,1,329229,
900.224,-347.785,1138.33,µm,Spot,Position,1,329230,
962.993,-419.066,1153.85,µm,Spot,Position,1,329232,
1016.64,-375.824,1155.18,µm,Spot,Position,1,329233,
1307.78,-334.72,1113.52,µm,Spot,Position,1,329236,
952.184,-258.094,1126.41,µm,Spot,Position,1,329255,
954.698,-218.756,1144.58,µm,Spot,Position,1,329256,
988.716,-211.032,1149.15,µm,Spot,Position,1,329261,
488.849,-116.214,1122.83,µm,Spot,Position,1,329285,
606.661,-97.0704,1106.02,µm,Spot,Position,1,329286,
513.87,-92.6525,1105.62,µm,Spot,Position,1,329287,
579.53,-108.82,1148.46,µm,Spot,Position,1,329288,
660.711,-113.618,1116.6,µm,Spot,Position,1,329289,
623.399,-144.374,1142.16,µm,Spot,Position,1,329290,
784.202,-155.849,1126.94,µm,Spot,Position,1,329291,
812.683,-99.8361,1125.39,µm,Spot,Position,1,329292,
854.9,-201.624,1139.83,µm,Spot,Position,1,329293,
927.744,-138.269,1100.4,µm,Spot,Position,1,329295,
947.785,-182.162,1105.61,µm,Spot,Position,1,329296,
863.527,-103.836,1137.51,µm,Spot,Position,1,329297,
895.726,-139.775,1141.97,µm,Spot,Position,1,329298,
310.113,-20.4646,1106.55,µm,Spot,Position,1,329328,
322.785,19.4402,1109.35,µm,Spot,Position,1,329329,
252.352,8.01299,1135.01,µm,Spot,Position,1,329330,
492.469,-19.2001,1094,µm,Spot,Position,1,329333,
402.404,8.36858,1153.02,µm,Spot,Position,1,329337,
506.591,-53.788,1123.48,µm,Spot,Position,1,329338,
531.331,-28.9161,1129.84,µm,Spot,Position,1,329339,
552.212,-72.7229,1137.94,µm,Spot,Position,1,329340,
541.841,35.6224,1152.55,µm,Spot,Position,1,329341,
676.077,-8.88612,1096.38,µm,Spot,Position,1,329342,
672.77,-49.7177,1126.41,µm,Spot,Position,1,329344,
677.212,-3.78224,1149.68,µm,Spot,Position,1,329346,
846.084,-24.5962,1094,µm,Spot,Position,1,329347,
794.964,-55.0072,1137.89,µm,Spot,Position,1,329350,
751.434,-63.9454,1140.82,µm,Spot,Position,1,329351,
