
Detailed
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
1061.22,-93.5281,1113.49,µm,Spot,Position,1,0,
1889.21,-158.947,1106.97,µm,Spot,Position,1,1,
1066.03,-77.3277,1108.28,µm,Spot,Position,1,2,
1554.27,-23.9223,1126.32,µm,Spot,Position,1,3,
1919.93,-47.0323,1118.82,µm,Spot,Position,1,4,
633.391,104.257,1140.15,µm,Spot,Position,1,5,
800.535,127.689,1090.9,µm,Spot,Position,1,6,
967.215,153.959,1100.56,µm,Spot,Position,1,7,
1054.39,148.94,1138.01,µm,Spot,Position,1,8,
1016.63,142.013,1143.98,µm,Spot,Position,1,9,
1601.97,62.2513,1102.87,µm,Spot,Position,1,10,
848.908,185.199,1097.08,µm,Spot,Position,1,11,
817.124,218.971,1132.36,µm,Spot,Position,1,12,
856.142,188.562,1097.99,µm,Spot,Position,1,13,
866.568,200.063,1100.14,µm,Spot,Position,1,14,
894.766,229.878,1108.69,µm,Spot,Position,1,15,
956.804,236.364,1115.15,µm,Spot,Position,1,16,
952.105,197.555,1120.41,µm,Spot,Position,1,17,
867.186,238.441,1145.31,µm,Spot,Position,1,18,
1086.45,186.407,1093.62,µm,Spot,Position,1,19,
1090.89,222.961,1096.98,µm,Spot,Position,1,20,
1010.48,236.171,1098.78,µm,Spot,Position,1,21,
1092.37,224.385,1113.6,µm,Spot,Position,1,22,
1016.8,249.023,1115.16,µm,Spot,Position,1,23,
1034.17,233.911,1120.57,µm,Spot,Position,1,24,
995.888,248.173,1143.69,µm,Spot,Position,1,25,
1201.8,196.212,1094.01,µm,Spot,Position,1,26,
1213.42,249.508,1093.67,µm,Spot,Position,1,27,
1178.74,190.815,1097.91,µm,Spot,Position,1,28,
1141.5,191.912,1101.7,µm,Spot,Position,1,29,
1178.36,270.611,1101.11,µm,Spot,Position,1,30,
1143.24,188.381,1118.24,µm,Spot,Position,1,31,
1178.9,192.565,1117.46,µm,Spot,Position,1,32,
1196.1,268.947,1117.14,µm,Spot,Position,1,33,
1119.1,232.557,1122.78,µm,Spot,Position,1,34,
1135.24,242.405,1122.45,µm,Spot,Position,1,35,
1191.07,236.717,1125.82,µm,Spot,Position,1,36,
1123.97,242.017,1129.66,µm,Spot,Position,1,37,
1144.26,239.576,1135,µm,Spot,Position,1,38,
1122.51,172.659,1149.47,µm,Spot,Position,1,39,
1236.01,250.286,1091.3,µm,Spot,Position,1,40,
1254.51,235.393,1096.62,µm,Spot,Position,1,41,
1277.43,226.669,1102.39,µm,Spot,Position,1,42,
1269.11,241.915,1105.99,µm,Spot,Position,1,43,
1240.3,251.565,1107.26,µm,Spot,Position,1,44,
1275.36,232.626,1120.19,µm,Spot,Position,1,45,
1267.36,240.527,1121.18,µm,Spot,Position,1,46,
1294.06,226.813,1126.32,µm,Spot,Position,1,47,
1282.14,258.646,1127.74,µm,Spot,Position,1,48,
1222.49,196.284,1136.75,µm,Spot,Position,1,49,
694.872,368.684,1093.61,µm,Spot,Position,1,50,
687.432,372.314,1118.64,µm,Spot,Position,1,51,
626.093,322.522,1140.79,µm,Spot,Position,1,52,
922.459,385.917,1089.46,µm,Spot,Position,1,53,
881.902,312.173,1112.8,µm,Spot,Position,1,54,
963.14,372.332,1117.92,µm,Spot,Position,1,55,
942.752,366.888,1125.56,µm,Spot,Position,1,56,
950.555,370.105,1126.15,µm,Spot,Position,1,57,
955.407,291.656,1130.06,µm,Spot,Position,1,58,
905.794,340.418,1132.52,µm,Spot,Position,1,59,
1025.06,331.192,1091.45,µm,Spot,Position,1,60,
990.262,360.176,1095.44,µm,Spot,Position,1,61,
1012.3,390.244,1102.53,µm,Spot,Position,1,62,
988.955,398.133,1101.43,µm,Spot,Position,1,63,
1049.22,336.929,1111.09,µm,Spot,Position,1,64,
980.175,351.077,1108.52,µm,Spot,Position,1,65,
1059.21,350.128,1115.6,µm,Spot,Position,1,66,
1000.38,351.321,1113.38,µm,Spot,Position,1,67,
1093.88,362.308,1114.98,µm,Spot,Position,1,68,
1004.03,284.929,1122.01,µm,Spot,Position,1,69,
1010.36,317.556,1121.41,µm,Spot,Position,1,70,
1026.14,330.241,1127.56,µm,Spot,Position,1,71,
993.423,295.277,1129.95,µm,Spot,Position,1,72,
1035.6,330.25,1130.82,µm,Spot,Position,1,73,
1017.2,330.783,1132.95,µm,Spot,Position,1,74,
1000.87,310.179,1147.23,µm,Spot,Position,1,75,
1036.57,342.782,1147,µm,Spot,Position,1,76,
1198.51,358.914,1099.09,µm,Spot,Position,1,77,
1201.05,359.642,1113.5,µm,Spot,Position,1,78,
1279.84,283.07,1123.91,µm,Spot,Position,1,79,
1220.55,398.128,1130.45,µm,Spot,Position,1,80,
1491.38,381.764,1122.33,µm,Spot,Position,1,81,
1727.86,298.141,1126.01,µm,Spot,Position,1,82,
1919.37,282.268,1130.28,µm,Spot,Position,1,83,
1931.84,282.098,1129.09,µm,Spot,Position,1,84,
1959.97,350.571,1089.51,µm,Spot,Position,1,85,
1965.69,345.282,1106.28,µm,Spot,Position,1,86,
2058.32,350.47,1117.76,µm,Spot,Position,1,87,
2033.43,370.673,1123.32,µm,Spot,Position,1,88,
2000.38,335.879,1124.26,µm,Spot,Position,1,89,
2035.4,399.271,1125.69,µm,Spot,Position,1,90,
2026.24,375.532,1129.99,µm,Spot,Position,1,91,
1970.97,316.584,1142.24,µm,Spot,Position,1,92,
2044.33,330.392,1145.35,µm,Spot,Position,1,93,
2068.22,347.143,1093.86,µm,Spot,Position,1,94,
2064.68,338.498,1121.44,µm,Spot,Position,1,95,
2078.89,341.209,1120.3,µm,Spot,Position,1,96,
507.081,511.564,1091.18,µm,Spot,Position,1,97,
738.03,418.82,1129.2,µm,Spot,Position,1,98,
969.445,426.828,1118.62,µm,Spot,Position,1,99,
974.407,451.595,1129.82,µm,Spot,Position,1,100,
954.897,461.533,1149.58,µm,Spot,Position,1,101,
913.464,468.18,1150.31,µm,Spot,Position,1,102,
1074.42,439.733,1094.42,µm,Spot,Position,1,103,
1087.24,450.392,1092.67,µm,Spot,Position,1,104,
989.449,414.782,1100.74,µm,Spot,Position,1,105,
1079.88,447.714,1117.34,µm,Spot,Position,1,106,
1091.05,445.329,1130.32,µm,Spot,Position,1,107,
1006.52,492.475,1135.05,µm,Spot,Position,1,108,
1128.89,473.342,1089.46,µm,Spot,Position,1,109,
1138.73,487.619,1095.38,µm,Spot,Position,1,110,
1146.59,495.106,1095.56,µm,Spot,Position,1,111,
1120.53,520.29,1095.08,µm,Spot,Position,1,112,
1196.96,403.382,1098.49,µm,Spot,Position,1,113,
1113.72,405.958,1102.15,µm,Spot,Position,1,114,
1119.52,494.522,1101.76,µm,Spot,Position,1,115,
1126.8,476.138,1129.89,µm,Spot,Position,1,116,
1176.61,519.403,1141.34,µm,Spot,Position,1,117,
1112.4,407.378,1146.76,µm,Spot,Position,1,118,
1157.47,504.275,1144.66,µm,Spot,Position,1,119,
1440.41,494.847,1093.9,µm,Spot,Position,1,120,
1433.33,496.404,1094.16,µm,Spot,Position,1,121,
1420.74,499.495,1096.8,µm,Spot,Position,1,122,
1365.77,486.533,1106.4,µm,Spot,Position,1,123,
1529.39,411.482,1115.8,µm,Spot,Position,1,124,
1487.37,439.512,1112.63,µm,Spot,Position,1,125,
1516.97,412.136,1118.04,µm,Spot,Position,1,126,
1503.62,417.273,1121.06,µm,Spot,Position,1,127,
1502.87,438.312,1120.68,µm,Spot,Position,1,128,
1532.44,507.108,1126.21,µm,Spot,Position,1,129,
1481.18,417.427,1138.84,µm,Spot,Position,1,130,
1556.61,487.444,1150.47,µm,Spot,Position,1,131,
1626.18,494.169,1090.79,µm,Spot,Position,1,132,
1639.95,460.699,1106.27,µm,Spot,Position,1,133,
1667.14,467.983,1109.64,µm,Spot,Position,1,134,
1594.34,470.309,1140.16,µm,Spot,Position,1,135,
1899.06,501.154,1090.48,µm,Spot,Position,1,136,
1863.47,482.673,1110.31,µm,Spot,Position,1,137,
1936.5,514.56,1114.37,µm,Spot,Position,1,138,
1916.25,511.8,1124.68,µm,Spot,Position,1,139,
1828.39,460.171,1129.5,µm,Spot,Position,1,140,
1916.46,511.529,1144.06,µm,Spot,Position,1,141,
2048.77,404.884,1102.61,µm,Spot,Position,1,142,
2056.59,496.034,1106.73,µm,Spot,Position,1,143,
2019.89,476.366,1117.66,µm,Spot,Position,1,144,
2012.84,501.303,1116.58,µm,Spot,Position,1,145,
2006.34,442.114,1127.51,µm,Spot,Position,1,146,
2005.52,465.948,1126.16,µm,Spot,Position,1,147,
1995.39,470.808,1124.74,µm,Spot,Position,1,148,
1999.73,519.584,1124.99,µm,Spot,Position,1,149,
2003.49,451.163,1129.95,µm,Spot,Position,1,150,
2005.92,515.756,1137.45,µm,Spot,Position,1,151,
1963.03,447.323,1142.37,µm,Spot,Position,1,152,
1961.06,454.189,1141.23,µm,Spot,Position,1,153,
2016.93,496.129,1149.64,µm,Spot,Position,1,154,
639.854,561.765,1137.54,µm,Spot,Position,1,155,
784.526,574.293,1103.59,µm,Spot,Position,1,156,
913.663,534.587,1093.62,µm,Spot,Position,1,157,
867.665,624.687,1113.95,µm,Spot,Position,1,158,
883.264,625.672,1122.34,µm,Spot,Position,1,159,
1044.39,586.724,1130.48,µm,Spot,Position,1,160,
1108.87,546.463,1094.2,µm,Spot,Position,1,161,
1181.91,608.442,1109.11,µm,Spot,Position,1,162,
1150.36,612.876,1116.67,µm,Spot,Position,1,163,
1136.02,639.464,1120.04,µm,Spot,Position,1,164,
1162.64,543.833,1126.35,µm,Spot,Position,1,165,
1206.08,543.226,1135.37,µm,Spot,Position,1,166,
1124.92,544.442,1133.67,µm,Spot,Position,1,167,
1310.97,632.977,1093.36,µm,Spot,Position,1,168,
1287.06,587.327,1111.42,µm,Spot,Position,1,169,
1228.1,636.336,1108.31,µm,Spot,Position,1,170,
1254.37,578.504,1126.99,µm,Spot,Position,1,171,
1260,606.621,1124.8,µm,Spot,Position,1,172,
1297.44,608.296,1125.93,µm,Spot,Position,1,173,
1268.99,587.498,1130.88,µm,Spot,Position,1,174,
1276.66,639.885,1140.88,µm,Spot,Position,1,175,
1256.74,576.923,1145.86,µm,Spot,Position,1,176,
1265.05,586.198,1149.39,µm,Spot,Position,1,177,
1364.63,571.023,1090.36,µm,Spot,Position,1,178,
1390.76,623.61,1101.88,µm,Spot,Position,1,179,
1404.05,590.588,1107.66,µm,Spot,Position,1,180,
1351.68,618.217,1109.95,µm,Spot,Position,1,181,
1426.45,628.1,1113.23,µm,Spot,Position,1,182,
1358.13,638.824,1125.2,µm,Spot,Position,1,183,
1340.02,636.004,1144.23,µm,Spot,Position,1,184,
1494.73,619.922,1096.98,µm,Spot,Position,1,185,
1571.86,625.45,1109.2,µm,Spot,Position,1,186,
1696.08,619.46,1123.57,µm,Spot,Position,1,187,
1659.59,623.87,1123.62,µm,Spot,Position,1,188,
1746.39,573.489,1107.4,µm,Spot,Position,1,189,
1819.75,627.734,1142.11,µm,Spot,Position,1,190,
1941.85,634.62,1097.67,µm,Spot,Position,1,191,
1931.11,577.315,1107.57,µm,Spot,Position,1,192,
1932.27,562.414,1113.21,µm,Spot,Position,1,193,
1933.11,597.225,1134.59,µm,Spot,Position,1,194,
1913.63,610.039,1142.14,µm,Spot,Position,1,195,
1925.5,600.226,1146.03,µm,Spot,Position,1,196,
1909.18,583.409,1148.85,µm,Spot,Position,1,197,
1945.64,524.174,1095.31,µm,Spot,Position,1,198,
1958.87,634.063,1094.17,µm,Spot,Position,1,199,
1960.93,554.181,1102.51,µm,Spot,Position,1,200,
1944.6,555.706,1109.42,µm,Spot,Position,1,201,
1974.12,618.044,1109.83,µm,Spot,Position,1,202,
1959.31,598.192,1118.75,µm,Spot,Position,1,203,
2025.79,539.005,1125.13,µm,Spot,Position,1,204,
2018.39,577.084,1134.95,µm,Spot,Position,1,205,
2024.85,621.298,1132.07,µm,Spot,Position,1,206,
2011.81,622.062,1138.36,µm,Spot,Position,1,207,
1990.84,632.734,1145.86,µm,Spot,Position,1,208,
2100.43,587.508,1142.53,µm,Spot,Position,1,209,
947.944,744.416,1147.42,µm,Spot,Position,1,210,
982.048,677.143,1096.92,µm,Spot,Position,1,211,
1104.42,649.128,1127.29,µm,Spot,Position,1,212,
1193.09,748.145,1139.35,µm,Spot,Position,1,213,
1313.18,647.509,1090.05,µm,Spot,Position,1,214,
1227.8,649.751,1101.63,µm,Spot,Position,1,215,
1251.75,664.614,1123.04,µm,Spot,Position,1,216,
1334.3,681.373,1129.19,µm,Spot,Position,1,217,
1218.78,730.567,1131.53,µm,Spot,Position,1,218,
1288.86,749.175,1134.57,µm,Spot,Position,1,219,
1292.68,666.155,1142.26,µm,Spot,Position,1,220,
1413.4,743.918,1098.13,µm,Spot,Position,1,221,
1425.57,725.621,1106.13,µm,Spot,Position,1,222,
1378.37,651.692,1115.79,µm,Spot,Position,1,223,
1403.89,694.359,1118.08,µm,Spot,Position,1,224,
1477.2,756.191,1102.2,µm,Spot,Position,1,225,
1485.08,752.908,1109.85,µm,Spot,Position,1,226,
1512.83,669.227,1133.23,µm,Spot,Position,1,227,
1473.83,651.854,1144.25,µm,Spot,Position,1,228,
1553.86,646.695,1149.96,µm,Spot,Position,1,229,
1543.46,655.46,1149.74,µm,Spot,Position,1,230,
1485.37,686.779,1149,µm,Spot,Position,1,231,
1493.22,700.331,1150.17,µm,Spot,Position,1,232,
1626.91,650.604,1103.74,µm,Spot,Position,1,233,
1683.79,735.411,1106.59,µm,Spot,Position,1,234,
1656.81,654.411,1114.14,µm,Spot,Position,1,235,
1637.23,675.24,1113.75,µm,Spot,Position,1,236,
1669.31,726.625,1112.64,µm,Spot,Position,1,237,
1620.14,724.149,1117.67,µm,Spot,Position,1,238,
1666.58,736.457,1117.73,µm,Spot,Position,1,239,
1632.97,744.269,1122.59,µm,Spot,Position,1,240,
1672.15,712.853,1129.28,µm,Spot,Position,1,241,
1662.69,727.072,1128.54,µm,Spot,Position,1,242,
1641.35,658.027,1133.58,µm,Spot,Position,1,243,
1622.51,685.29,1132.83,µm,Spot,Position,1,244,
1583.15,700.981,1134.02,µm,Spot,Position,1,245,
1662.76,716.824,1134.64,µm,Spot,Position,1,246,
1615.9,687.864,1144.6,µm,Spot,Position,1,247,
1642.38,650.091,1150.21,µm,Spot,Position,1,248,
1613.3,677.525,1150.36,µm,Spot,Position,1,249,
1666.96,703.365,1150.54,µm,Spot,Position,1,250,
1711.38,732.103,1097.74,µm,Spot,Position,1,251,
1800.5,686.661,1110.55,µm,Spot,Position,1,252,
1749.04,664.715,1125.68,µm,Spot,Position,1,253,
1739.46,688.425,1125.08,µm,Spot,Position,1,254,
1772.27,697.907,1139.85,µm,Spot,Position,1,255,
1750.27,708.033,1146.31,µm,Spot,Position,1,256,
1793.38,717.483,1146.23,µm,Spot,Position,1,257,
1730.52,732.125,1149.09,µm,Spot,Position,1,258,
1795.24,739.955,1150.02,µm,Spot,Position,1,259,
1909.29,654.072,1101.47,µm,Spot,Position,1,260,
1885.5,653.917,1117.27,µm,Spot,Position,1,261,
1830.99,656.345,1118.14,µm,Spot,Position,1,262,
1983.98,643.005,1142.03,µm,Spot,Position,1,263,
2025.32,648.117,1142.91,µm,Spot,Position,1,264,
1970.04,661.714,1141.56,µm,Spot,Position,1,265,
1977.03,667.097,1142.51,µm,Spot,Position,1,266,
2030.39,683.743,1141.43,µm,Spot,Position,1,267,
476.67,840.133,1136.19,µm,Spot,Position,1,268,
507.598,821.82,1103.03,µm,Spot,Position,1,269,
937.059,838.921,1091.49,µm,Spot,Position,1,270,
961.152,837.736,1114.55,µm,Spot,Position,1,271,
863.807,789.188,1128.41,µm,Spot,Position,1,272,
1049.91,863.809,1132.64,µm,Spot,Position,1,273,
1101.78,826.475,1093.4,µm,Spot,Position,1,274,
1148.04,866.615,1093.07,µm,Spot,Position,1,275,
1210.91,776.343,1113.32,µm,Spot,Position,1,276,
1238.58,873.584,1090.41,µm,Spot,Position,1,277,
1248.25,836.648,1094.04,µm,Spot,Position,1,278,
1254.55,874.686,1124.87,µm,Spot,Position,1,279,
1495.02,781.388,1092.36,µm,Spot,Position,1,280,
1546.57,857.348,1095.41,µm,Spot,Position,1,281,
1500.96,810.201,1098.33,µm,Spot,Position,1,282,
1500.97,832.637,1097.75,µm,Spot,Position,1,283,
1468.35,819.431,1113.01,µm,Spot,Position,1,284,
1553.94,810.866,1126.4,µm,Spot,Position,1,285,
1549.64,812.667,1132.71,µm,Spot,Position,1,286,
1575.92,831.86,1140.31,µm,Spot,Position,1,287,
1565.14,799.784,1151.04,µm,Spot,Position,1,288,
1677.85,824.408,1095.38,µm,Spot,Position,1,289,
1600.14,855.235,1095.18,µm,Spot,Position,1,290,
1654.84,851.696,1144.84,µm,Spot,Position,1,291,
1723.32,870.542,1114.21,µm,Spot,Position,1,292,
1774.14,853.529,1123.56,µm,Spot,Position,1,293,
1819.62,879.245,1143.6,µm,Spot,Position,1,294,
1766.97,868.045,1149.42,µm,Spot,Position,1,295,
1888.49,842.619,1093.9,µm,Spot,Position,1,296,
1856.76,865.038,1095.27,µm,Spot,Position,1,297,
1861.38,877.924,1094.31,µm,Spot,Position,1,298,
1870.37,877.936,1101.82,µm,Spot,Position,1,299,
1881.35,871.539,1109.62,µm,Spot,Position,1,300,
1874.37,848.639,1112.98,µm,Spot,Position,1,301,
1823.65,773.096,1142.31,µm,Spot,Position,1,302,
2038.04,763.863,1121,µm,Spot,Position,1,303,
1953.23,877.298,1125.54,µm,Spot,Position,1,304,
2110.59,815.445,1126.93,µm,Spot,Position,1,305,
2152.51,849.168,1138.04,µm,Spot,Position,1,306,
879.788,968.016,1137.19,µm,Spot,Position,1,307,
982.889,892.261,1102.34,µm,Spot,Position,1,308,
1042.13,951.633,1107.26,µm,Spot,Position,1,309,
1195.38,889.288,1092.88,µm,Spot,Position,1,310,
1194.62,898.547,1097.61,µm,Spot,Position,1,311,
1186.78,990.109,1106.63,µm,Spot,Position,1,312,
1193.76,994.506,1105.27,µm,Spot,Position,1,313,
1161.32,884.131,1110.19,µm,Spot,Position,1,314,
1184.54,952.607,1109.33,µm,Spot,Position,1,315,
1236.73,938.605,1126.25,µm,Spot,Position,1,316,
1282.45,967.004,1125.28,µm,Spot,Position,1,317,
1316.2,970.747,1125.65,µm,Spot,Position,1,318,
1302.12,954.3,1128.92,µm,Spot,Position,1,319,
1330.75,973.293,1130.38,µm,Spot,Position,1,320,
1224.66,935.555,1133.3,µm,Spot,Position,1,321,
1274.99,950.854,1132.91,µm,Spot,Position,1,322,
1423.24,991.494,1096.72,µm,Spot,Position,1,323,
1397.17,948.513,1137.24,µm,Spot,Position,1,324,
1554.82,965.587,1094.83,µm,Spot,Position,1,325,
1505.66,994.255,1113.77,µm,Spot,Position,1,326,
1501.93,943.625,1116.62,µm,Spot,Position,1,327,
1558.01,900.493,1127.27,µm,Spot,Position,1,328,
1481.43,999.499,1126.65,µm,Spot,Position,1,329,
1612,926.994,1103.16,µm,Spot,Position,1,330,
1593.4,905.848,1106.83,µm,Spot,Position,1,331,
1679.53,955.823,1106.47,µm,Spot,Position,1,332,
1672.78,926.846,1118.65,µm,Spot,Position,1,333,
1686.44,973.788,1116.36,µm,Spot,Position,1,334,
1678.27,962.363,1126.08,µm,Spot,Position,1,335,
1702.51,901.169,1106.42,µm,Spot,Position,1,336,
1723.15,989.523,1105.6,µm,Spot,Position,1,337,
1762.19,938.38,1110.84,µm,Spot,Position,1,338,
1706.97,1003.64,1117.7,µm,Spot,Position,1,339,
1709.62,1000.43,1133.86,µm,Spot,Position,1,340,
1768.61,891.201,1151.41,µm,Spot,Position,1,341,
1931.51,950.455,1089.58,µm,Spot,Position,1,342,
1878.19,949.058,1101.11,µm,Spot,Position,1,343,
1966.13,922.693,1102.44,µm,Spot,Position,1,344,
1974.18,956.983,1106.22,µm,Spot,Position,1,345,
1959.53,969.52,1115.31,µm,Spot,Position,1,346,
1991.12,896.904,1137.68,µm,Spot,Position,1,347,
2012.14,940.348,1142.88,µm,Spot,Position,1,348,
2175.99,1000.26,1091.83,µm,Spot,Position,1,349,
999.514,1028.88,1113.38,µm,Spot,Position,1,350,
1045.25,1040.65,1136.16,µm,Spot,Position,1,351,
1029.2,1008.56,1142.14,µm,Spot,Position,1,352,
1160.19,1069.44,1125.05,µm,Spot,Position,1,353,
1441.23,1031.42,1110.89,µm,Spot,Position,1,354,
1457.58,1086.36,1118.98,µm,Spot,Position,1,355,
1454.92,1011.44,1124.18,µm,Spot,Position,1,356,
1429.74,1121.21,1147.06,µm,Spot,Position,1,357,
1543.28,1019.52,1113.03,µm,Spot,Position,1,358,
1550.42,1067.1,1127.08,µm,Spot,Position,1,359,
1575.28,1101.02,1140.91,µm,Spot,Position,1,360,
1557.91,1105.11,1147.52,µm,Spot,Position,1,361,
1554.63,1078.44,1148.72,µm,Spot,Position,1,362,
1471.07,1081.01,1149.79,µm,Spot,Position,1,363,
1589.17,1030.26,1095.78,µm,Spot,Position,1,364,
1637.99,1082.52,1093.71,µm,Spot,Position,1,365,
1669.26,1090.23,1097.7,µm,Spot,Position,1,366,
