
Detailed
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
1150.87,-263.424,1109.68,µm,Spot,Position,1,0,
1569.85,-222.075,1123.57,µm,Spot,Position,1,1,
1564.93,-233.907,1134.17,µm,Spot,Position,1,2,
1577.39,-227.307,1145.62,µm,Spot,Position,1,3,
1565.99,-215.665,1146.5,µm,Spot,Position,1,4,
1567.67,-233.368,1150.19,µm,Spot,Position,1,5,
1591.4,-218.267,1142.16,µm,Spot,Position,1,6,
976.442,-133.425,1120.91,µm,Spot,Position,1,7,
1052.73,-132.548,1094,µm,Spot,Position,1,8,
1064.67,-102.877,1096.54,µm,Spot,Position,1,9,
1054.95,-122.494,1100.63,µm,Spot,Position,1,10,
1034,-135.449,1110.1,µm,Spot,Position,1,11,
986.42,-130.588,1111.21,µm,Spot,Position,1,12,
1022.14,-137.877,1119.34,µm,Spot,Position,1,13,
1046.19,-105.437,1117.39,µm,Spot,Position,1,14,
1020.45,-129.231,1121.87,µm,Spot,Position,1,15,
1040.62,-100.302,1123.13,µm,Spot,Position,1,16,
1025.1,-97.9763,1138.38,µm,Spot,Position,1,17,
1004.91,-114.758,1150.62,µm,Spot,Position,1,18,
1015.47,-95.3093,1150.5,µm,Spot,Position,1,19,
1724.55,-181.283,1102.41,µm,Spot,Position,1,20,
1812.22,-123.534,1118.24,µm,Spot,Position,1,21,
1808.18,-114.589,1120.88,µm,Spot,Position,1,22,
1797.39,-187.432,1155.67,µm,Spot,Position,1,23,
1916.12,-157.558,1094,µm,Spot,Position,1,24,
1914.72,-85.5085,1094,µm,Spot,Position,1,25,
1890.32,-112.765,1100.12,µm,Spot,Position,1,26,
1918.33,-134.223,1106.01,µm,Spot,Position,1,27,
1889.18,-103.981,1123.08,µm,Spot,Position,1,28,
1882.93,-152.411,1125.68,µm,Spot,Position,1,29,
1880.76,-151.011,1140.08,µm,Spot,Position,1,30,
1955.21,-127.861,1094,µm,Spot,Position,1,31,
1082.17,-82.9977,1094,µm,Spot,Position,1,32,
1094.85,-82.6443,1094,µm,Spot,Position,1,33,
1003.59,-62.5997,1108.81,µm,Spot,Position,1,34,
996.169,28.7384,1116.85,µm,Spot,Position,1,35,
986.898,4.32958,1123.93,µm,Spot,Position,1,36,
1051.49,22.5409,1124.89,µm,Spot,Position,1,37,
1038.13,-41.3571,1145.41,µm,Spot,Position,1,38,
1223.37,-7.99006,1133.09,µm,Spot,Position,1,39,
1568.2,-56.1886,1119.99,µm,Spot,Position,1,40,
1669.96,-40.4021,1121.1,µm,Spot,Position,1,41,
1672.48,-26.8409,1121.89,µm,Spot,Position,1,42,
1584.66,-68.6837,1137.82,µm,Spot,Position,1,43,
1581.61,-61.9157,1154.28,µm,Spot,Position,1,44,
1803.36,-66.9571,1094,µm,Spot,Position,1,45,
1910.34,-79.4339,1108.04,µm,Spot,Position,1,46,
1881.79,-74.4542,1111.05,µm,Spot,Position,1,47,
1839.95,-6.36558,1111.17,µm,Spot,Position,1,48,
1897,-81.306,1112.27,µm,Spot,Position,1,49,
1886.36,36.6763,1117,µm,Spot,Position,1,50,
1870.84,-61.5421,1125.05,µm,Spot,Position,1,51,
1911.74,-51.1352,1129.49,µm,Spot,Position,1,52,
958.78,70.8495,1133.17,µm,Spot,Position,1,53,
1087.39,41.1084,1094,µm,Spot,Position,1,54,
986.481,109.869,1134.36,µm,Spot,Position,1,55,
981.503,101.773,1139.16,µm,Spot,Position,1,56,
1017.96,75.4645,1141.55,µm,Spot,Position,1,57,
1097.49,112.198,1143.14,µm,Spot,Position,1,58,
1008.47,70.4747,1146.68,µm,Spot,Position,1,59,
1021.85,78.4575,1149.62,µm,Spot,Position,1,60,
1618.68,61.2866,1109.39,µm,Spot,Position,1,61,
1888.71,47.3592,1126.67,µm,Spot,Position,1,62,
1865.28,45.7231,1154.19,µm,Spot,Position,1,63,
638.444,188.554,1098.71,µm,Spot,Position,1,64,
636.795,190.711,1124.46,µm,Spot,Position,1,65,
831.806,160.747,1096.59,µm,Spot,Position,1,66,
745.919,192.637,1117.14,µm,Spot,Position,1,67,
837.416,218.765,1130.47,µm,Spot,Position,1,68,
835.424,224.629,1141.22,µm,Spot,Position,1,69,
839.603,220.603,1152.64,µm,Spot,Position,1,70,
935.765,183.433,1094,µm,Spot,Position,1,71,
946.934,185.725,1094,µm,Spot,Position,1,72,
941.873,192.203,1094,µm,Spot,Position,1,73,
942.581,203.749,1094,µm,Spot,Position,1,74,
966.519,221.773,1094,µm,Spot,Position,1,75,
1021.43,200.356,1096.31,µm,Spot,Position,1,76,
1003.59,244.515,1104.06,µm,Spot,Position,1,77,
1045.17,192.344,1126.36,µm,Spot,Position,1,78,
1109.99,223.008,1094,µm,Spot,Position,1,79,
1188.12,264.32,1094,µm,Spot,Position,1,80,
1170.67,267.45,1094,µm,Spot,Position,1,81,
1112.1,223.344,1106.11,µm,Spot,Position,1,82,
1210.18,234.975,1106.62,µm,Spot,Position,1,83,
1205.79,242.915,1117.74,µm,Spot,Position,1,84,
1169.16,201.269,1126.55,µm,Spot,Position,1,85,
1122.7,172.635,1128.86,µm,Spot,Position,1,86,
1170.28,236.489,1133.73,µm,Spot,Position,1,87,
1204.44,243.963,1134.95,µm,Spot,Position,1,88,
1182.11,187.455,1145.51,µm,Spot,Position,1,89,
1269.53,244.438,1094,µm,Spot,Position,1,90,
1247.3,267.607,1117.03,µm,Spot,Position,1,91,
1700.13,242.69,1122.39,µm,Spot,Position,1,92,
1695.38,216.31,1142.78,µm,Spot,Position,1,93,
1673.9,173.71,1149.66,µm,Spot,Position,1,94,
1807.43,273.63,1094,µm,Spot,Position,1,95,
1806.2,274.644,1106.47,µm,Spot,Position,1,96,
1710.73,250.094,1115.72,µm,Spot,Position,1,97,
1738.87,275.194,1146.15,µm,Spot,Position,1,98,
1829.13,249.203,1151.1,µm,Spot,Position,1,99,
1831.62,231.533,1152.69,µm,Spot,Position,1,100,
1974.87,223.82,1154.64,µm,Spot,Position,1,101,
2282.48,272.13,1094,µm,Spot,Position,1,102,
2290.21,266.542,1105.84,µm,Spot,Position,1,103,
665.136,354.756,1126.64,µm,Spot,Position,1,104,
616.108,285.235,1132.99,µm,Spot,Position,1,105,
961.779,322.955,1094,µm,Spot,Position,1,106,
975.617,335.928,1094,µm,Spot,Position,1,107,
918.788,354.485,1094,µm,Spot,Position,1,108,
975.407,396.63,1094,µm,Spot,Position,1,109,
972.038,305.473,1106.23,µm,Spot,Position,1,110,
918.523,351.349,1111.2,µm,Spot,Position,1,111,
886.774,326.299,1114.02,µm,Spot,Position,1,112,
923.949,357.617,1118.02,µm,Spot,Position,1,113,
966.85,376.802,1151.1,µm,Spot,Position,1,114,
1049.71,337.286,1094,µm,Spot,Position,1,115,
1001.41,350.72,1094,µm,Spot,Position,1,116,
1006.55,353.936,1127.53,µm,Spot,Position,1,117,
994.24,299.148,1141.75,µm,Spot,Position,1,118,
1003.64,339.45,1148.61,µm,Spot,Position,1,119,
1257.16,286.991,1123.08,µm,Spot,Position,1,120,
1541.25,376.33,1094,µm,Spot,Position,1,121,
1790.9,390.622,1115.93,µm,Spot,Position,1,122,
1740.97,281.011,1149.6,µm,Spot,Position,1,123,
1863.44,287.427,1094,µm,Spot,Position,1,124,
1930.66,291.104,1111.26,µm,Spot,Position,1,125,
1956.42,358.835,1094,µm,Spot,Position,1,126,
1965.43,365.216,1094,µm,Spot,Position,1,127,
1957.85,376.052,1094,µm,Spot,Position,1,128,
2019.74,385.272,1097.93,µm,Spot,Position,1,129,
2042.14,373.072,1102.85,µm,Spot,Position,1,130,
2009.09,396.959,1102.37,µm,Spot,Position,1,131,
2018.53,339.862,1114.63,µm,Spot,Position,1,132,
2063.07,353.07,1122.53,µm,Spot,Position,1,133,
2073.31,354.938,1094,µm,Spot,Position,1,134,
2066.38,335.108,1152.35,µm,Spot,Position,1,135,
689.831,450.424,1154.61,µm,Spot,Position,1,136,
786.391,429.139,1094,µm,Spot,Position,1,137,
756.904,419.877,1125.96,µm,Spot,Position,1,138,
817.222,492.607,1151.21,µm,Spot,Position,1,139,
913.783,440.987,1132.8,µm,Spot,Position,1,140,
1055.75,422.444,1094,µm,Spot,Position,1,141,
1047.38,430.125,1135.52,µm,Spot,Position,1,142,
1021.57,434.5,1146.42,µm,Spot,Position,1,143,
1027.8,506.033,1150.1,µm,Spot,Position,1,144,
1189.45,468.001,1099.52,µm,Spot,Position,1,145,
1100.45,456.261,1118.55,µm,Spot,Position,1,146,
1145.39,488.25,1139.25,µm,Spot,Position,1,147,
1271.04,440.761,1147.72,µm,Spot,Position,1,148,
1448.18,468.115,1094,µm,Spot,Position,1,149,
1383.07,511.722,1094,µm,Spot,Position,1,150,
1382.63,511.827,1106.87,µm,Spot,Position,1,151,
1425.85,463.667,1110.67,µm,Spot,Position,1,152,
1446.19,437.142,1131.54,µm,Spot,Position,1,153,
1406.44,509.331,1154.73,µm,Spot,Position,1,154,
1576.97,477.25,1134.75,µm,Spot,Position,1,155,
1551.1,490.676,1153.04,µm,Spot,Position,1,156,
1680.36,474.395,1108.46,µm,Spot,Position,1,157,
1636.58,503.203,1142.19,µm,Spot,Position,1,158,
1797.83,415.408,1101.25,µm,Spot,Position,1,159,
1788.77,418.001,1133.07,µm,Spot,Position,1,160,
1794.37,440.858,1138.32,µm,Spot,Position,1,161,
1778.8,400.468,1141.59,µm,Spot,Position,1,162,
1829.14,450.363,1094,µm,Spot,Position,1,163,
1843.15,455.248,1094,µm,Spot,Position,1,164,
1917.43,492.341,1094,µm,Spot,Position,1,165,
1926.7,513.01,1094,µm,Spot,Position,1,166,
1939.23,404.754,1119.04,µm,Spot,Position,1,167,
1929.03,510.202,1124.9,µm,Spot,Position,1,168,
1839.41,503.693,1128.23,µm,Spot,Position,1,169,
