Position X,Position Y,Position Z
1340.79,567.171,56.2703
1326.48,575.014,56.1127
1312.11,809.886,2
1301.29,817.084,2
1393.55,1004.1,48.9757
1385.09,1010.96,50.117
1338.41,1054.02,52.6909
675.86,331.574,87.3038
678.894,332.124,118.445
693.064,304.86,127.519
819.964,310.103,83.7245
724.995,391.24,86.8845
774.998,354.705,94.5322
857.564,343.265,117.301
753.471,452.839,91.4252
773.892,430.553,98.9927
1158.07,621.134,119.388
1141.97,627.969,119.32
1131.85,637.931,117.761
1175.15,619.749,125.472
1128.79,629.312,125.101
1303.01,632.947,102.061
1320.19,628.578,110.317
1347.97,619.782,120.659
1329.91,615.525,127.521
823.125,691.414,99.4056
933.837,659.979,89.7756
845.762,690.02,90.6712
889.566,679.748,99.3193
916.858,649.224,110.139
901.67,650.783,117.546
854.708,691.98,116.866
858.449,648.211,126.781
1000.09,748.316,93.7119
1011.72,741.16,102.66
1035.22,759.528,102.263
1077.34,751.548,106.581
1070.21,736.942,109.665
1076.07,696.387,118.808
1149.51,685.814,95.4667
1164.03,678.661,98.7852
1106.7,728.211,107.797
1089.33,738.442,106.262
1113.02,660.028,110.35
1085.04,694.311,116.16
1145.22,694.269,116.919
1116.29,660.022,120.506
1133.13,678.932,123.575
646.555,873.671,101.601
801.601,844.843,125.266
951.904,776.977,116.281
1061.88,783.416,93.4761
1056.56,765.213,103.73
1000.8,765.246,104.3
1036.13,772.303,110.833
1215.09,809.412,120.212
1220.48,803.458,125.732
976.948,957.285,109.851
167.79,1295.59,99.21
223.005,1399.38,114.227
716.684,273.114,147.023
730.57,249.307,158.881
746.507,240.764,177.024
727.598,259.633,179.808
749.467,223.695,180.14
752.244,211.192,186.713
690.818,341.834,142.354
706.503,285.077,152.674
698.963,345.686,188.321
832.566,369.545,153.247
826.724,377.012,161.248
778.232,372.483,174.867
787.133,372.388,176.689
765.86,374.759,182.725
763.647,392.841,189.737
1201.8,492.799,183.743
1321.87,461.5,166.541
1257.48,473.533,187.464
1241.92,496.103,186.443
1308.65,449.179,191.312
1278.18,466.83,190.537
1342,462.759,135.047
1331.45,489.625,135.075
1326.28,505.458,136.782
1368.51,439.816,154.083
1326.61,440.857,152.189
1375.06,442.659,155.391
1346.54,445.795,187.47
1361.05,445.135,189.674
1393.55,445.426,188.719
719.507,608.991,158.836
697.815,590.14,166.673
693.107,629.052,166.197
830.91,642.304,150.388
728.259,623.429,157.252
727.504,639.143,156.383
840.472,640.171,158.888
805.764,636.016,163.242
813.926,634.207,166.479
788.471,640.854,164.785
838.731,620.254,175.314
829.964,615.758,179.453
760.846,581.275,184.325
733.45,608.265,186.032
819.936,612.634,189.323
894.008,627.821,144.456
872.621,635.311,147.052
931.16,614.319,156.813
912.465,604.787,171.64
951.772,593.301,174.561
858.02,614.852,172.662
879.787,585.039,183.156
849.662,608.806,183.078
945.638,574.307,186.057
928.168,578.771,185.51
1054.56,579.773,170.906
1076.61,555.399,175.261
1027.58,577.043,173.49
1009.67,578.449,175.057
995.574,581.31,173.634
973.115,587.104,174.16
1120.97,619.249,129.145
1139.69,627.444,128.469
1153.44,587.607,139.675
1116.73,600.941,139.155
1112.42,635.246,137.344
1168.8,585.179,142.43
1192.09,529.433,150.059
1122.74,585.847,155.819
1115.8,567.54,167.402
1160.62,566.823,164.859
1146.12,549.182,171.089
1157.94,525.225,190.088
1147.14,527.535,190.959
1131.72,539.526,190.737
1205.63,533.151,175.399
1364.44,608.107,136.852
1381.33,600.216,149.255
1393.55,591.573,156.984
466.829,668.859,153.119
444.147,677.137,152.149
456.155,671.479,157.535
707.746,646.388,164.863
690.84,661.25,174.139
792.69,687.779,132.164
732.314,678.929,155.015
818.57,686.36,156.249
841.741,648.294,175.141
835.639,670.474,184.892
866.001,658.824,133.326
844.627,687.494,133.294
863.129,653.333,136.954
848.122,650.434,147.194
1070.26,675.763,128.41
1080.23,675.361,128.261
1119.63,656.472,161.245
683.551,865.656,133.662
814.767,833.821,133.242
791.513,844.241,133.692
825.358,827.743,141.406
759.47,858.093,163.518
860.498,808.925,134.562
914.594,998.133,161.796
922.478,992.98,171.508
931.257,979.298,178.376
926.568,943.397,191.829
1393.55,982.989,186.335
434.206,1032.88,152.043
429.105,1054.06,171.928
837.175,1015.67,185.338
886.533,1035.92,165.614
873.23,1017.26,175.677
1194.13,1140.16,155.323
