Position X,Position Y,Position Z
1187.26,246.466,51.302
1177.75,234.64,56.5225
1310.1,170.366,62.172
1295.93,172.485,62.099
1215.85,220.092,61.7041
1227.15,270.484,63.4407
704.899,352.04,29.4665
673.062,317.356,33.2168
716.452,340.031,49.1655
699.694,329.619,53.0499
660.08,326.372,60.8763
724.505,353.705,30.2059
730.914,350.429,34.2291
747.7,341.792,43.2441
927.262,373.345,63.0643
1074.26,351.172,31.064
1038.65,397.721,34.1575
1069.19,342.424,38.5825
1065.18,328.385,47.4957
1064.68,400.767,51.2358
1068.69,337.632,53.4703
1068,384.171,55.2142
1055.2,398.342,52.0308
1037.36,358.876,56.8656
1003.04,361.821,58.4633
1082.17,361.481,58.4307
981.218,367.5,59.1839
1003.57,350,62.6767
1086.85,323.937,32.5281
1128.16,324.516,33.0894
1119.94,326.518,34.1829
1119.2,326.858,51.3724
1086.82,403.573,49.5028
1103.66,331.565,53.6052
1166.83,395.714,54.0159
1116.98,332.554,63.0742
1106.05,361.428,62.2802
1137.73,399.118,61.1161
706.687,504.014,22.7783
726.562,495.994,46.5402
1049.6,407.57,47.428
1151.48,422.385,28.4797
1108.57,455.303,29.2231
1217.72,424.562,2
669.73,578.332,2
681.601,579.691,30.7931
951.268,591.496,14.7703
937.757,574.544,17.053
944.243,544.27,35.7809
955.818,544.966,37.4926
934.311,549.958,42.8285
951.96,592.113,42.5464
937.815,576.14,51.3348
952.546,641.023,62.7204
1064.71,546.472,2
1032.01,570.44,30.2006
1023.28,588.736,28.9101
1023.61,610.612,28.4563
1016.81,602.655,33.7013
1004.31,614.467,41.6196
1005.07,577.768,47.0483
996.858,619.894,45.9605
985.761,628.637,51.1165
966.433,630.031,61.9607
1384.37,563.139,25.453
1393.55,566.51,38.4188
1375.27,570.179,59.5625
841.495,719.77,45.9046
817.538,723.996,48.8571
807.094,727.875,50.3886
796.159,736.692,56.1213
797.88,749.161,58.6346
778.473,751.819,59.0841
798.306,762.816,60.7322
907.875,704.594,27.849
879.166,708.391,34.1502
877.948,761.477,35.8447
939.551,740.446,37.3388
901.623,758.547,38.3487
870.307,759.272,37.1965
950.675,651.671,49.8161
944.63,661.002,51.3961
943.528,748.018,62.6433
964.542,673.947,31.8544
992.541,701.197,38.4546
1113.44,682.553,56.2631
1167.18,745.764,56.724
1229.65,740.288,54.0304
1218.82,744.78,52.696
1373.6,758.051,19.88
836.317,787.956,35.4092
812.051,775.318,50.326
824.239,788.944,50.0839
789.02,801.133,60.8234
775.981,814.128,61.7272
865.009,782.481,39.049
848.925,785.944,37.9113
892.168,775.532,40.7657
849.716,784.889,61.7858
