Position X,Position Y,Position Z
1230.49,273.917,57.3729
711.831,338.542,35.2433
734.629,346.763,34.8411
929.556,377.354,57.1701
1075.69,352.106,26.289
1044.93,356.353,28.738
1040.64,348.733,33.0196
1063.98,322.546,43.2048
1076.89,395.224,42.9283
1082.58,329.652,49.2006
1077.1,372.863,51.5294
1072.25,331.495,58.4814
1030.72,359.345,58.5421
999.988,391.185,57.6382
1003.8,355.902,62.6204
1041.85,363.67,62.1041
1079.14,364.191,60.7336
980.531,370.322,61.7608
976.169,379.88,63.3536
986.137,385.873,62.3325
1062.75,385.663,62.5883
1194.36,401.418,26.4915
1161.98,380.069,30.5333
1129.35,321.536,37.4019
1086.53,328.605,38.8859
1136.76,351.5,37.6312
1133.3,398.862,39.6607
1112.26,357.7,45.4749
1125.37,377.633,46.9983
1186.23,378.918,47.1472
1112.95,370.303,49.9443
1092.4,313.704,59.1048
1095.35,367.947,57.609
1084.55,399.63,61.5393
1096.32,401.001,62.6065
1316.86,328.368,2
1247.92,402.875,19.1578
1270.58,402.621,16.3859
1218.61,402.414,37.5562
1205.28,395.953,46.6765
917.267,406.711,11.1743
1067.59,500.274,2
1053.37,498.908,11.1008
1081.36,506.952,10.8243
1058.92,509.101,16.9877
1073.01,520.702,18.4123
1024.76,445.072,23.6362
1035.11,493.276,22.1517
1013.22,415.711,29.4689
1024.74,425.581,31.3704
1032.73,437.984,30.4516
1082.39,460.66,29.2014
1039.97,426.655,33.4237
1071.12,431.234,33.6812
1059.15,438.776,32.8839
1073.84,467.351,34.4034
1068.77,482.686,34.7245
1078.48,417.223,38.3461
1049.54,417.837,37.5858
1028.93,404.787,41.7957
1038.84,404.802,57.208
1133.11,447.922,2
1199.92,448.096,2
1192.74,472.676,2
1102.77,474.14,2
1157.46,474.33,2
1182.88,427.057,4.62429
1113.26,459.065,7.15313
1084.99,473.222,6.23021
1136.13,442.146,9.41252
1160.81,428.965,14.4429
1097.18,447.481,21.1775
1130,421.476,28.9284
1149.84,453.271,30.9729
1172.26,406.283,32.9843
1112.42,423.108,34.5461
1098.84,427.055,34.9265
1176.43,441.016,34.9297
1162.38,445.34,37.9265
1186.23,416.949,42.0505
1123.8,445.194,42.8416
1165.45,421.044,44.8519
1155.39,423.263,47.174
1172.99,405.735,51.2337
1154.31,407.822,55.4338
1127.8,408.708,57.2447
1138.28,404.249,61.1015
1244.7,412.447,2
1280.35,427.169,2
1267.93,430.594,2
1209,448.163,2
1245.94,447.96,2
1231.65,463.236,2
1216.47,467.996,2
1316.92,517.772,2
1214.15,425.574,6.77115
1283.55,415.666,9.38155
1209.63,416.485,12.8612
1275.04,421.194,13.5383
1206.98,411.574,17.194
1240.62,431.013,18.1029
1205.91,406.355,22.1051
1236.83,419.395,21.9705
1228.73,418.564,24.8652
1211.55,427.274,29.5786
1204.27,423.928,32.7772
1210.07,407.842,37.4517
1347.73,412.897,2
1339.8,418.923,2
1354.61,462.53,2
1349.34,472.889,2
1336.19,497.551,2
947.99,543.89,34.9656
955.391,582.21,58.0585
952.83,641.546,59.3624
1062.92,560.618,2
1050.97,571.633,5.85679
1043.99,581.955,17.9683
1065.37,526.81,22.4462
1059.2,534.45,22.9421
1050.7,538.922,26.7651
1033.47,603.108,26.0372
1017.8,623.564,26.613
1024.47,542.672,31.3202
1020.48,551.615,30.7324
1019.19,577.856,33.1915
