
Detailed
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
2350.92,599.278,2,µm,Spot,Position,1,0,
2232.17,608.976,61.4433,µm,Spot,Position,1,1,
2323.57,643.252,2,µm,Spot,Position,1,2,
2320.99,698.143,2,µm,Spot,Position,1,3,
2347.15,629.919,14.9904,µm,Spot,Position,1,4,
2364.67,658.236,16.5294,µm,Spot,Position,1,5,
2353.66,624.083,26.8867,µm,Spot,Position,1,6,
2301.53,653.16,34.2763,µm,Spot,Position,1,7,
2356.06,706.527,49.6784,µm,Spot,Position,1,8,
2442.47,654.815,2,µm,Spot,Position,1,9,
2444.74,661.919,2,µm,Spot,Position,1,10,
2502.32,697.926,2,µm,Spot,Position,1,11,
2506.26,676.585,14.4965,µm,Spot,Position,1,12,
2479.07,696.218,18.8052,µm,Spot,Position,1,13,
2466.53,721.34,21.2563,µm,Spot,Position,1,14,
2431.82,693.227,40.8401,µm,Spot,Position,1,15,
2484.97,645.09,52.6163,µm,Spot,Position,1,16,
2275.83,787.205,26.7492,µm,Spot,Position,1,17,
2260.52,779.093,46.3744,µm,Spot,Position,1,18,
2283.65,733.308,50.6978,µm,Spot,Position,1,19,
2270.5,782.097,52.3363,µm,Spot,Position,1,20,
2221.65,726.176,58.8758,µm,Spot,Position,1,21,
2232.41,752.716,56.7143,µm,Spot,Position,1,22,
2257.42,766.543,58.4303,µm,Spot,Position,1,23,
2322.86,739.173,8.42902,µm,Spot,Position,1,24,
2373.87,837.194,24.8096,µm,Spot,Position,1,25,
2342.03,779.1,39.5698,µm,Spot,Position,1,26,
2381.43,743.844,47.732,µm,Spot,Position,1,27,
2379.06,755.973,45.8353,µm,Spot,Position,1,28,
2348.83,729.235,57.1346,µm,Spot,Position,1,29,
2344.05,746.065,61.1292,µm,Spot,Position,1,30,
2311.82,791.032,61.2137,µm,Spot,Position,1,31,
2447.76,731.987,17.6074,µm,Spot,Position,1,32,
2439.23,738.092,21.4205,µm,Spot,Position,1,33,
2421.11,752.067,26.971,µm,Spot,Position,1,34,
2411.12,777.943,25.1607,µm,Spot,Position,1,35,
2454.17,1088.14,2,µm,Spot,Position,1,36,
2458.77,1123.74,14.7761,µm,Spot,Position,1,37,
2462.93,1125.16,29.382,µm,Spot,Position,1,38,
2505.83,1167.81,38.2784,µm,Spot,Position,1,39,
2481.36,1130.34,51.595,µm,Spot,Position,1,40,
2500.92,1157.61,49.0466,µm,Spot,Position,1,41,
2506.36,1173.7,49.518,µm,Spot,Position,1,42,
2518.92,1194.12,58.9651,µm,Spot,Position,1,43,
2522.71,1161.93,60.5431,µm,Spot,Position,1,44,
2505.83,1162.81,62.106,µm,Spot,Position,1,45,
2262.26,1435.99,2,µm,Spot,Position,1,46,
2303.53,1439.5,10.8734,µm,Spot,Position,1,47,
2523.89,1386.06,2,µm,Spot,Position,1,48,
2458.5,1422.57,2,µm,Spot,Position,1,49,
2459.01,1354.56,9.18989,µm,Spot,Position,1,50,
2462.74,1367.26,22.0421,µm,Spot,Position,1,51,
2449.24,1427.11,27.4497,µm,Spot,Position,1,52,
2273.01,1463.19,2,µm,Spot,Position,1,53,
2259.24,1480.1,2,µm,Spot,Position,1,54,
2274.14,1518.67,2,µm,Spot,Position,1,55,
2275.78,1528.72,2,µm,Spot,Position,1,56,
2272.47,1511.12,5.85641,µm,Spot,Position,1,57,
2247.26,1478.33,10.5208,µm,Spot,Position,1,58,
2251.43,1457.37,26.9301,µm,Spot,Position,1,59,
2279.75,1534.24,26.3445,µm,Spot,Position,1,60,
2267.06,1449.1,53.9048,µm,Spot,Position,1,61,
2279.3,1497.36,59.2869,µm,Spot,Position,1,62,
2304.99,1451.67,2,µm,Spot,Position,1,63,
2331.09,1541.82,2,µm,Spot,Position,1,64,
2306.67,1460.85,8.74621,µm,Spot,Position,1,65,
2289.04,1547.75,8.27228,µm,Spot,Position,1,66,
2307.94,1485.46,23.0086,µm,Spot,Position,1,67,
2288.45,1529.58,54.2984,µm,Spot,Position,1,68,
2286.92,1541,57.9921,µm,Spot,Position,1,69,
2460.84,1481.76,2,µm,Spot,Position,1,70,
2458.18,1499.74,2,µm,Spot,Position,1,71,
2408.52,1552.11,2,µm,Spot,Position,1,72,
2461.03,1476.23,10.1292,µm,Spot,Position,1,73,
2465.2,1550.29,8.86139,µm,Spot,Position,1,74,
2520.17,1471.62,37.6145,µm,Spot,Position,1,75,
2499.98,1475.36,41.328,µm,Spot,Position,1,76,
2472.55,1500.79,43.265,µm,Spot,Position,1,77,
2505.87,1490.7,51.7463,µm,Spot,Position,1,78,
2307.18,1568.26,2,µm,Spot,Position,1,79,
