
Detailed
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
2438.93,571.107,2,µm,Spot,Position,1,12288,
2411.55,571.952,4.63038,µm,Spot,Position,1,12290,
1678.58,642.788,46.7616,µm,Spot,Position,1,14506,
1661.64,627.383,54.9316,µm,Spot,Position,1,14517,
1748.68,719.596,51.2182,µm,Spot,Position,1,14560,
1705.11,645.461,58.9496,µm,Spot,Position,1,14564,
2404.53,643.433,39.0544,µm,Spot,Position,1,14842,
2286.71,700.773,40.8748,µm,Spot,Position,1,14844,
2420.41,644.553,58.4515,µm,Spot,Position,1,14885,
1884.18,774.312,2,µm,Spot,Position,1,17025,
1812.01,762.374,58.8038,µm,Spot,Position,1,17056,
1944.78,817.927,52.4277,µm,Spot,Position,1,17088,
2058.29,819.118,61.2197,µm,Spot,Position,1,17153,
2276.51,760.485,11.6866,µm,Spot,Position,1,17157,
2285.45,735.133,52.7832,µm,Spot,Position,1,17187,
2295.57,746.394,2,µm,Spot,Position,1,17195,
2317.28,754.102,2,µm,Spot,Position,1,17196,
2298.85,775.112,11.036,µm,Spot,Position,1,17197,
2299.82,734.95,31.4394,µm,Spot,Position,1,17202,
2358.18,816.534,42.6809,µm,Spot,Position,1,17208,
2364.58,829.772,43.4557,µm,Spot,Position,1,17211,
2307.26,777.843,50.8324,µm,Spot,Position,1,17212,
2332.11,770.532,57.3341,µm,Spot,Position,1,17214,
2390.29,820.923,58.6015,µm,Spot,Position,1,17216,
2435.04,727.672,33.8718,µm,Spot,Position,1,17235,
2153.73,901.41,52.5167,µm,Spot,Position,1,19607,
2057.61,873.653,60.1586,µm,Spot,Position,1,19610,
2089.07,905.284,62.9652,µm,Spot,Position,1,19611,
2394.42,866.246,22.1275,µm,Spot,Position,1,19677,
2342.49,851.524,51.2753,µm,Spot,Position,1,19702,
2321.36,1014.52,2,µm,Spot,Position,1,22195,
2364.87,1254.56,2,µm,Spot,Position,1,27265,
2476.04,1322.38,2,µm,Spot,Position,1,27316,
2408.44,1222.52,55.4407,µm,Spot,Position,1,27339,
2443.82,1210.18,62.7363,µm,Spot,Position,1,27345,
2370.96,1340.91,2,µm,Spot,Position,1,29751,
2398.97,1429.4,2,µm,Spot,Position,1,29758,
2338.22,1423,54.9982,µm,Spot,Position,1,29794,
2421.14,1365.9,2,µm,Spot,Position,1,29808,
2246.98,1552.45,59.1369,µm,Spot,Position,1,32185,
2393.36,1487.71,37.6647,µm,Spot,Position,1,32205,
2438.21,1514.87,2,µm,Spot,Position,1,32221,
2433.46,1479.82,36.9739,µm,Spot,Position,1,32242,
2409,1484.82,42.7405,µm,Spot,Position,1,32244,
2430.33,1491.26,41.4753,µm,Spot,Position,1,32245,
2411.12,1501.8,42.4927,µm,Spot,Position,1,32246,
2274.38,1643.78,50.4891,µm,Spot,Position,1,34602,
2255.36,1649,56.1903,µm,Spot,Position,1,34609,
2248.93,1651.08,61.4011,µm,Spot,Position,1,34611,
2423.81,1593.02,2,µm,Spot,Position,1,34646,
2425.32,1601.63,2,µm,Spot,Position,1,34647,
2426.05,1620.68,2,µm,Spot,Position,1,34650,
2409.63,1663.9,2,µm,Spot,Position,1,34651,
2439.39,1665.81,2,µm,Spot,Position,1,34652,
2465.24,1670.09,23.9062,µm,Spot,Position,1,34657,
2485.17,1667.46,25.9724,µm,Spot,Position,1,34665,
2514.17,1648.68,51.1999,µm,Spot,Position,1,34675,
2515.4,1656.1,50.098,µm,Spot,Position,1,34676,
2526.68,1669.79,48.4256,µm,Spot,Position,1,34678,
2452.78,1580.8,54.9282,µm,Spot,Position,1,34679,
2459.92,1586.47,54.735,µm,Spot,Position,1,34680,
2461.21,1608.3,58.6695,µm,Spot,Position,1,34686,
2469.45,1694.12,2,µm,Spot,Position,1,37022,
2428.83,1707.59,2,µm,Spot,Position,1,37023,
2510.47,1706.53,34.2367,µm,Spot,Position,1,37041,
2531,1698.81,42.2189,µm,Spot,Position,1,37076,
2505.22,1821.37,63.6641,µm,Spot,Position,1,39301,
1702.87,587.328,84.8265,µm,Spot,Position,1,59151,
2537.8,598.625,94.601,µm,Spot,Position,1,59733,
1665.4,619.979,100.955,µm,Spot,Position,1,62162,
2365.27,685.754,121.565,µm,Spot,Position,1,62582,
2428.03,716.625,110.935,µm,Spot,Position,1,62609,
1756.56,729.223,78.1586,µm,Spot,Position,1,65062,
1802.15,759.37,80.9429,µm,Spot,Position,1,65073,
1891.95,803.318,69.3728,µm,Spot,Position,1,65124,
1861.75,786.945,74.2315,µm,Spot,Position,1,65129,
2037.81,809.807,85.5768,µm,Spot,Position,1,65183,
2054.12,823.071,84.711,µm,Spot,Position,1,65234,
2048.26,827.568,118.341,µm,Spot,Position,1,65274,
2376.63,742.028,70.2635,µm,Spot,Position,1,65330,
2312.22,786.14,68.9597,µm,Spot,Position,1,65331,
2362.82,824.901,75.3243,µm,Spot,Position,1,65332,
2333.41,787.101,78.3516,µm,Spot,Position,1,65334,
2403.03,822.479,77.3267,µm,Spot,Position,1,65335,
2310.87,748.13,95.4057,µm,Spot,Position,1,65340,
2343.87,817.05,92.2002,µm,Spot,Position,1,65343,
2310.22,805.067,115.134,µm,Spot,Position,1,65346,
2312.62,842.169,118.976,µm,Spot,Position,1,65352,
2340.88,758.303,125.503,µm,Spot,Position,1,65354,
2411.34,799.228,89.4821,µm,Spot,Position,1,65383,
2415.35,835.791,90.5556,µm,Spot,Position,1,65384,
2421.24,809.722,98.5466,µm,Spot,Position,1,65385,
2432.95,823.693,109.207,µm,Spot,Position,1,65388,
2443.66,839.37,114.597,µm,Spot,Position,1,65400,
2449.86,830.516,126.833,µm,Spot,Position,1,65408,
2136.18,905.645,70.326,µm,Spot,Position,1,68069,
2127.89,908.341,78.7749,µm,Spot,Position,1,68071,
2084.3,947.345,77.7707,µm,Spot,Position,1,68073,
2064.73,883.194,81.3489,µm,Spot,Position,1,68076,
2097.49,893.365,83.7872,µm,Spot,Position,1,68077,
2081.79,899.627,116.905,µm,Spot,Position,1,68085,
2363.34,860.827,74.2382,µm,Spot,Position,1,68160,
2505.65,906.299,86.7832,µm,Spot,Position,1,68222,
2516.7,948.746,88.8188,µm,Spot,Position,1,68224,
2429.48,842.556,99.2649,µm,Spot,Position,1,68227,
2441.98,847.555,110.072,µm,Spot,Position,1,68229,
2514.93,914.823,114.722,µm,Spot,Position,1,68233,
2543.22,961.3,126.478,µm,Spot,Position,1,68335,
2072.08,969.38,123.855,µm,Spot,Position,1,70995,
2513.26,1023.13,83.0635,µm,Spot,Position,1,71144,
2524.27,1080.95,91.7704,µm,Spot,Position,1,71155,
2528.34,1031.95,94.0509,µm,Spot,Position,1,71214,
2540.3,1070.87,105.392,µm,Spot,Position,1,71228,
2551.89,1058.89,115.072,µm,Spot,Position,1,71244,
2564.58,1050.48,120.511,µm,Spot,Position,1,71247,
2513.9,1085.02,90.5146,µm,Spot,Position,1,74150,
2499.71,1089.86,94.3824,µm,Spot,Position,1,74151,
2459.89,1094.96,93.7089,µm,Spot,Position,1,74152,
2478.97,1093.48,108.916,µm,Spot,Position,1,74155,
2452.89,1097.72,108.574,µm,Spot,Position,1,74156,
2532.76,1194.41,86.5806,µm,Spot,Position,1,74199,
2424.29,1219.81,70.2165,µm,Spot,Position,1,77188,
2546.83,1372.84,111.463,µm,Spot,Position,1,80319,
2566.82,1428,115.342,µm,Spot,Position,1,80331,
2224.31,1508.44,69.2421,µm,Spot,Position,1,83049,
2223.49,1515.85,80.9741,µm,Spot,Position,1,83056,
2211.57,1562.32,127.108,µm,Spot,Position,1,83094,
2269.65,1657.93,82.6433,µm,Spot,Position,1,85978,
2260.12,1672.16,84.1173,µm,Spot,Position,1,85980,
2231.47,1654.56,90.0389,µm,Spot,Position,1,85981,
2185.62,1600.01,94.2163,µm,Spot,Position,1,85983,
2177.87,1642,97.3136,µm,Spot,Position,1,85987,
2217.93,1649.93,107.078,µm,Spot,Position,1,85988,
2207.8,1653.27,110.351,µm,Spot,Position,1,85991,
2183.88,1628.69,113.432,µm,Spot,Position,1,85992,
2231.68,1669.78,113.64,µm,Spot,Position,1,85993,
2231.3,1680.86,115.511,µm,Spot,Position,1,85994,
2236.8,1574.67,118.363,µm,Spot,Position,1,85996,
2180.96,1641.8,126.925,µm,Spot,Position,1,85999,
2220.13,1664.17,125.875,µm,Spot,Position,1,86000,
2325.97,1665.26,85.8355,µm,Spot,Position,1,86012,
2345.16,1627.52,96.8563,µm,Spot,Position,1,86020,
2335.83,1632.92,109.851,µm,Spot,Position,1,86023,
2354.95,1629.29,113.85,µm,Spot,Position,1,86025,
2338.83,1595.87,118.641,µm,Spot,Position,1,86026,
2336.71,1583.55,122.842,µm,Spot,Position,1,86030,
2349.8,1572.85,125.976,µm,Spot,Position,1,86032,
2464.74,1618.02,64.9155,µm,Spot,Position,1,86034,
2423.41,1678.54,115.878,µm,Spot,Position,1,86058,
2528.7,1647.28,66.8321,µm,Spot,Position,1,86077,
2565.12,1651.62,111.31,µm,Spot,Position,1,86127,
2590.31,1674.06,113.999,µm,Spot,Position,1,86137,
2401.8,1717.89,81.3457,µm,Spot,Position,1,88939,
2381.73,1685.59,101.401,µm,Spot,Position,1,88951,
2411.54,1690.76,78.6758,µm,Spot,Position,1,88969,
2416.28,1737.4,84.4879,µm,Spot,Position,1,88972,
2406.76,1743.88,86.5797,µm,Spot,Position,1,88973,
2512.67,1797.05,87.0257,µm,Spot,Position,1,88976,
2415.47,1693.47,109.875,µm,Spot,Position,1,88982,
2447.17,1795.26,115.335,µm,Spot,Position,1,88983,
2510.38,1712.34,125.516,µm,Spot,Position,1,88987,
2523.59,1759.8,127.541,µm,Spot,Position,1,88988,
2561.79,1703.64,72.4795,µm,Spot,Position,1,88991,
2538.51,1746.24,87.4507,µm,Spot,Position,1,89000,
2533.37,1701.4,94.1689,µm,Spot,Position,1,89003,
2532.94,1710.38,94.473,µm,Spot,Position,1,89004,
2528.66,1793.34,100.771,µm,Spot,Position,1,89013,
2560.78,1757.34,106.562,µm,Spot,Position,1,89014,
2540.78,1707.65,114.334,µm,Spot,Position,1,89020,
2541.8,1711.78,126.034,µm,Spot,Position,1,89030,
2552.34,1747.29,124.951,µm,Spot,Position,1,89032,
2569.2,1756.61,127.327,µm,Spot,Position,1,89033,
2533.3,1761.2,125.769,µm,Spot,Position,1,89034,
2599.36,1866.04,94.6732,µm,Spot,Position,1,91874,
2444.73,449.669,141.791,µm,Spot,Position,1,105965,
2467.02,454.998,140.615,µm,Spot,Position,1,105966,
2453.81,467.461,164.689,µm,Spot,Position,1,105988,
2560.42,371.819,150.187,µm,Spot,Position,1,105996,
2575.89,366.186,157.93,µm,Spot,Position,1,105997,
2566.22,475.472,183.38,µm,Spot,Position,1,106014,
2630.57,447.986,188.255,µm,Spot,Position,1,106018,
2638.94,460.144,191.696,µm,Spot,Position,1,106019,
1681.05,556.051,180.121,µm,Spot,Position,1,107416,
1667.12,547.936,189.621,µm,Spot,Position,1,107424,
1695.33,556.99,142.594,µm,Spot,Position,1,107428,
1713.77,548.164,149.196,µm,Spot,Position,1,107433,
2493.47,599.369,165.574,µm,Spot,Position,1,107697,
2518.98,531.16,189.466,µm,Spot,Position,1,107712,
2523.38,572.052,190.578,µm,Spot,Position,1,107714,
2621.12,507.052,183.92,µm,Spot,Position,1,107737,
2485.49,619.524,153.965,µm,Spot,Position,1,109494,
2490.35,613.563,167.025,µm,Spot,Position,1,109505,
1759.74,726.616,140.644,µm,Spot,Position,1,110987,
2448.48,813.035,132.471,µm,Spot,Position,1,111210,
2480.01,805.868,174.441,µm,Spot,Position,1,111252,
2480.14,819.325,173.253,µm,Spot,Position,1,111253,
2441.74,816.629,179.071,µm,Spot,Position,1,111256,
1997.41,942.525,142.606,µm,Spot,Position,1,112827,
2312.56,865.393,181.373,µm,Spot,Position,1,112936,
2549.31,948.081,163.789,µm,Spot,Position,1,112989,
2120.08,980.34,149.077,µm,Spot,Position,1,114626,
2085.14,994.45,160.974,µm,Spot,Position,1,114627,
2485.06,1081.65,185.502,µm,Spot,Position,1,114781,
2556.56,1068.69,143.279,µm,Spot,Position,1,114784,
2461.93,1114.53,128.693,µm,Spot,Position,1,116615,
2458.97,1128.63,139.03,µm,Spot,Position,1,116617,
2455.05,1135.63,152.702,µm,Spot,Position,1,116625,
2453.26,1174.75,166.285,µm,Spot,Position,1,116632,
2457.86,1184.98,174.52,µm,Spot,Position,1,116639,
2462.07,1193.43,183.569,µm,Spot,Position,1,116644,
2552.04,1110.24,138.739,µm,Spot,Position,1,116645,
2540.47,1199.5,142.885,µm,Spot,Position,1,116646,
2547.79,1403.49,130.43,µm,Spot,Position,1,120582,
2579.92,1430.25,136.663,µm,Spot,Position,1,120583,
2548.92,1377.45,141.218,µm,Spot,Position,1,120584,
2560.03,1392.46,143.691,µm,Spot,Position,1,120585,
2563.47,1429.22,150.715,µm,Spot,Position,1,120587,
2532.64,1543.52,138.725,µm,Spot,Position,1,122501,
2567.84,1443.87,152.959,µm,Spot,Position,1,122509,
2577.1,1477.88,162.404,µm,Spot,Position,1,122510,
2580.24,1461.48,172.608,µm,Spot,Position,1,122526,
2165.12,1646.13,153.926,µm,Spot,Position,1,124248,
2163.9,1632.96,173.991,µm,Spot,Position,1,124279,
2148.94,1649.23,174.872,µm,Spot,Position,1,124280,
2142.58,1655.32,174.943,µm,Spot,Position,1,124281,
2214.45,1593.65,130.424,µm,Spot,Position,1,124290,
2208.66,1578.18,141.85,µm,Spot,Position,1,124291,
2211.47,1601.67,142.029,µm,Spot,Position,1,124292,
2243.85,1600.94,142.32,µm,Spot,Position,1,124293,
2206.45,1586.85,149.469,µm,Spot,Position,1,124296,
2242.3,1610.31,154.977,µm,Spot,Position,1,124299,
2175.86,1656.87,166.278,µm,Spot,Position,1,124306,
2203.38,1602.91,173.702,µm,Spot,Position,1,124310,
2236.95,1606.25,174.68,µm,Spot,Position,1,124311,
2209.34,1628.6,178.414,µm,Spot,Position,1,124314,
2202.78,1614.4,190.733,µm,Spot,Position,1,124316,
2399.02,1659.16,141.675,µm,Spot,Position,1,124319,
2404.19,1650.37,171.287,µm,Spot,Position,1,124342,
2356.52,1650.83,169.489,µm,Spot,Position,1,124343,
2509.67,1650.69,137.316,µm,Spot,Position,1,124347,
2519.52,1679.34,138.799,µm,Spot,Position,1,124348,
2524.37,1656.73,143.151,µm,Spot,Position,1,124350,
2475.22,1674.87,140.648,µm,Spot,Position,1,124351,
2519.55,1603.67,146.562,µm,Spot,Position,1,124358,
2522.19,1664.42,167.069,µm,Spot,Position,1,124370,
2422.91,1656.65,178.38,µm,Spot,Position,1,124381,
2561.22,1656.9,133.251,µm,Spot,Position,1,124386,
2580.17,1680.04,140.77,µm,Spot,Position,1,124387,
2530.37,1600.55,157.616,µm,Spot,Position,1,124389,
2554.34,1653.34,166.334,µm,Spot,Position,1,124402,
2556.96,1574.05,169.91,µm,Spot,Position,1,124406,
2375.84,1697.46,161.309,µm,Spot,Position,1,126233,
2309.18,1773.98,166.817,µm,Spot,Position,1,126234,
2305.21,1798.61,178.456,µm,Spot,Position,1,126241,
2355.61,1756.77,183.236,µm,Spot,Position,1,126242,
2290.89,1797.9,180.931,µm,Spot,Position,1,126243,
2367.3,1728.97,187.779,µm,Spot,Position,1,126244,
2429.78,1727.34,128.765,µm,Spot,Position,1,126245,
2519.63,1723.53,138.558,µm,Spot,Position,1,126246,
2505.41,1688.69,140.312,µm,Spot,Position,1,126247,
2493.99,1686.03,172.412,µm,Spot,Position,1,126267,
2425.63,1692.07,179.992,µm,Spot,Position,1,126268,
2415.13,1695.39,178.779,µm,Spot,Position,1,126269,
2489.44,1755.52,179.441,µm,Spot,Position,1,126270,
2473.73,1747.03,181.856,µm,Spot,Position,1,126271,
2447.49,1711.91,185.199,µm,Spot,Position,1,126273,
2441.75,1685.69,189.218,µm,Spot,Position,1,126274,
2438.02,1737.82,189.413,µm,Spot,Position,1,126275,
2577.62,1686.15,128.432,µm,Spot,Position,1,126276,
2530.32,1727.1,130.189,µm,Spot,Position,1,126277,
2532.62,1734.77,130.68,µm,Spot,Position,1,126278,
